item_id,supplier_name,category,region,country,lead_time_days,min_order_value,min_order_qty,payment_terms,quality_score,reliability_score,risk_rating
SUP0071,Supplier_0071,fasteners,North,DE,9.053553462347649,29011,35,Net 45,90.0,78.75063456420308,medium
SUP0072,Supplier_0072,electronics,East,DE,14.923599119856666,15599,45,Net 60,63.0,64.06853956935247,high
SUP0073,Supplier_0073,electronics,West,DE,23.291025519133665,49321,66,Net 15,75.0,72.46198432849174,medium
SUP0074,Supplier_0074,components,North,SG,12.867658233737227,19010,49,Net 45,60.0,72.0108625842143,medium
SUP0075,Supplier_0075,plastics,West,US,19.850256181946918,17354,12,Net 30,85.0,83.86787723026778,medium
SUP0076,Supplier_0076,packaging,North,DE,15.605296737986224,28718,13,Net 30,76.0,86.84126947227688,low
SUP0077,Supplier_0077,electronics,West,DE,23.376914520771493,8021,23,Net 45,69.0,61.82568546441695,high
SUP0078,Supplier_0078,plastics,North,US,21.80102453878407,14259,17,Net 60,65.0,68.81718458421815,high
SUP0079,Supplier_0079,packaging,East,BR,12.46453043060312,37782,11,Net 15,80.0,82.07610171464299,medium
SUP0080,Supplier_0080,plastics,West,US,16.650785972796378,8471,18,Net 15,85.0,79.35119288887891,medium
SUP0081,Supplier_0081,electronics,South,MX,26.349947181763955,40727,17,Net 30,97.0,98.15307474514012,low
SUP0082,Supplier_0082,packaging,West,US,21.147014962032777,50570,15,Net 30,74.0,81.8813724394054,medium
SUP0083,Supplier_0083,plastics,West,DE,6.824303537990948,17976,19,Net 45,62.0,59.8953539221371,high
SUP0084,Supplier_0084,chemicals,West,US,23.24494448937106,25861,55,Net 45,92.0,81.00224278039654,medium
SUP0085,Supplier_0085,electronics,South,DE,9.323115020510095,40761,28,Net 15,83.0,82.8858416278966,medium
SUP0086,Supplier_0086,components,West,SG,29.300104559688048,17039,138,Net 30,86.0,80.13424988384867,medium
SUP0087,Supplier_0087,plastics,West,US,26.192790718728197,35499,27,Net 45,59.0,56.77478389868477,high
SUP0088,Supplier_0088,plastics,South,CN,20.319083807347205,15227,20,Net 30,69.0,68.46967949704671,high
SUP0089,Supplier_0089,fasteners,West,BR,19.257862747489547,16938,24,Net 45,89.0,77.91326059589915,medium
SUP0090,Supplier_0090,plastics,Central,CN,16.32774195178064,14191,29,Net 30,92.0,81.49822079441559,medium
SUP0091,Supplier_0091,electronics,Central,US,23.428191611200226,26594,33,Net 30,74.0,77.13343443091591,medium
SUP0092,Supplier_0092,packaging,West,SG,15.033774644303506,41642,104,Net 15,91.0,87.60232847489708,low
SUP0093,Supplier_0093,components,West,IN,19.88455896511915,19905,13,Net 15,92.0,75.32916177816631,medium
SUP0094,Supplier_0094,chemicals,Central,US,24.97547493215561,10946,44,Net 15,72.0,77.10148623795288,medium
SUP0095,Supplier_0095,components,South,CN,13.505547651795283,12143,28,Net 45,95.0,96.77040340928257,low
SUP0096,Supplier_0096,electronics,West,IN,13.070458080074443,27365,8,Net 15,67.0,62.359813643762855,high
SUP0097,Supplier_0097,chemicals,North,US,8.445076154204328,60734,42,Net 45,65.0,56.44060362812143,high
SUP0098,Supplier_0098,chemicals,South,BR,9.484218030990622,27352,59,Net 60,85.0,90.43275132604319,low
SUP0099,Supplier_0099,plastics,Central,SG,4.0,17804,13,Net 45,83.0,85.27077904664279,low
SUP0100,Supplier_0100,metals,South,MX,23.838630312124238,33570,24,Net 45,61.0,76.48691483744648,medium
SUP0101,Supplier_0101,metals,Central,CN,32.47131633666217,19308,7,Net 15,92.0,94.73122589171209,low
SUP0102,Supplier_0102,plastics,East,CN,29.402631547762446,17889,10,Net 30,63.0,65.52007041820309,high
SUP0103,Supplier_0103,metals,South,BR,4.9913240909878684,13001,51,Net 60,91.0,89.91496845429432,low
SUP0104,Supplier_0104,components,North,US,23.7988373724496,47793,17,Net 30,55.0,60.309043136805144,high
SUP0105,Supplier_0105,components,East,DE,29.37685079938845,5450,11,Net 60,90.0,94.063053808113,low
SUP0106,Supplier_0106,chemicals,East,BR,14.345520154090687,34160,28,Net 45,90.0,98.13621255567377,low
SUP0107,Supplier_0107,packaging,East,DE,18.811579445200394,17067,17,Net 30,90.0,86.61140102885764,low
SUP0108,Supplier_0108,chemicals,North,MX,4.0,17576,17,Net 15,84.0,81.16985142586424,medium
SUP0109,Supplier_0109,chemicals,South,IN,20.13388934381313,55869,41,Net 15,76.0,72.88582938907213,medium
SUP0110,Supplier_0110,plastics,North,DE,9.49152216452226,14871,10,Net 30,86.0,91.14021118766343,low
SUP0111,Supplier_0111,chemicals,South,MX,19.597080143292118,15153,13,Net 30,67.0,76.73943386192876,medium
SUP0112,Supplier_0112,metals,Central,IN,5.510376622488957,20502,27,Net 45,90.0,87.01753679452955,low
SUP0113,Supplier_0113,metals,North,MX,22.342865795820767,27656,48,Net 45,80.0,77.2389707693449,medium
SUP0114,Supplier_0114,components,West,US,26.19610140341352,17274,58,Net 30,75.0,77.04150195515369,medium
SUP0115,Supplier_0115,metals,North,IN,11.734561106278658,9268,15,Net 45,77.0,75.40255024991615,medium
SUP0116,Supplier_0116,chemicals,East,SG,8.904619348716524,13682,47,Net 60,80.0,86.18834874540929,low
SUP0117,Supplier_0117,plastics,Central,SG,4.0,44566,14,Net 45,56.0,41.363447610976195,high
SUP0118,Supplier_0118,electronics,South,MX,15.868691727398584,22951,88,Net 60,61.0,55.62641719504018,high
SUP0119,Supplier_0119,metals,North,MX,13.347248525747158,28228,11,Net 30,66.0,60.9142938292506,high
SUP0120,Supplier_0120,metals,East,SG,5.591844701215562,19076,62,Net 60,60.0,44.917685919490054,high
SUP0121,Supplier_0121,components,South,SG,21.624150050497374,15325,15,Net 30,74.0,67.73635011160277,high
SUP0122,Supplier_0122,components,Central,DE,14.400236945082806,55418,100,Net 15,85.0,79.05148524700148,medium
SUP0123,Supplier_0123,fasteners,Central,BR,9.39411233083814,19860,37,Net 15,84.0,82.6928197456276,medium
SUP0124,Supplier_0124,metals,West,SG,13.563420754876423,17259,12,Net 15,76.0,83.23427829579171,medium
SUP0125,Supplier_0125,plastics,West,US,26.570436311436925,40250,17,Net 60,93.0,91.40710576726043,low
SUP0126,Supplier_0126,plastics,West,BR,22.823495550041777,14804,42,Net 15,80.0,73.2997108182375,medium
SUP0127,Supplier_0127,components,West,DE,16.95979150801208,15881,51,Net 60,58.0,57.62979548211206,high
SUP0128,Supplier_0128,metals,East,CN,22.95284014771882,22150,23,Net 60,89.0,95.81962853936876,low
SUP0129,Supplier_0129,fasteners,Central,CN,8.712704348906088,22029,25,Net 30,80.0,73.65626769525312,medium
SUP0130,Supplier_0130,metals,South,BR,18.258960805816244,25407,41,Net 60,83.0,77.08126325451059,medium
SUP0131,Supplier_0131,packaging,North,IN,19.178578643891765,69592,26,Net 60,80.0,83.63056823528245,medium
SUP0132,Supplier_0132,components,West,DE,14.241307932010185,26500,9,Net 60,79.0,77.5600152477498,medium
SUP0133,Supplier_0133,electronics,West,US,21.483666687659344,5955,13,Net 30,59.0,63.208650489611585,high
SUP0134,Supplier_0134,metals,Central,DE,11.75653236284439,26356,28,Net 30,80.0,79.91129585333057,medium
SUP0135,Supplier_0135,fasteners,South,US,22.078565662208945,22490,57,Net 15,90.0,94.56081371258219,low
SUP0136,Supplier_0136,electronics,East,SG,22.414870172250335,22559,76,Net 60,68.0,61.271992258735835,high
SUP0137,Supplier_0137,plastics,East,MX,4.0,25216,42,Net 60,82.0,81.92144976987626,medium
SUP0138,Supplier_0138,packaging,South,CN,27.52244562808094,21681,29,Net 45,56.0,54.63051490663948,high
SUP0139,Supplier_0139,chemicals,West,MX,4.0,21398,41,Net 15,70.0,62.09670899332315,high
SUP0140,Supplier_0140,components,East,MX,13.071607795550998,30858,15,Net 60,74.0,63.83739333885352,high
SUP0141,Supplier_0141,fasteners,West,US,26.20278427406204,16347,22,Net 30,99.0,100.0,low
SUP0142,Supplier_0142,chemicals,East,CN,15.461706197980474,13079,13,Net 45,64.0,61.718809515583146,high
SUP0143,Supplier_0143,electronics,South,CN,6.270512140243664,116201,10,Net 45,67.0,60.35517816929236,high
SUP0144,Supplier_0144,electronics,Central,DE,9.250103506266635,14857,30,Net 15,73.0,72.37483690999834,medium
SUP0145,Supplier_0145,electronics,East,BR,26.215245970564958,23273,27,Net 15,99.0,100.0,low
SUP0146,Supplier_0146,components,West,DE,4.0,9675,39,Net 15,93.0,78.1752040050825,medium
SUP0147,Supplier_0147,plastics,East,US,27.03192880769614,23483,35,Net 60,56.0,46.27184851562838,high
SUP0148,Supplier_0148,plastics,South,CN,17.559183207661686,13183,29,Net 60,65.0,59.001238127680764,high
SUP0149,Supplier_0149,metals,Central,IN,8.460837356460532,17268,36,Net 30,91.0,100.0,low
SUP0150,Supplier_0150,fasteners,South,DE,13.33507942157847,39135,23,Net 30,57.0,58.836815388975424,high
SUP0151,Supplier_0151,fasteners,Central,CN,9.86220527118687,28555,32,Net 30,93.0,97.98756206299798,low
SUP0152,Supplier_0152,fasteners,East,BR,24.929801606868228,30110,14,Net 30,67.0,59.5889540256795,high
SUP0153,Supplier_0153,packaging,North,IN,23.859422478102708,8315,31,Net 45,96.0,88.72301681074158,low
SUP0154,Supplier_0154,plastics,North,DE,4.246710928991627,60493,39,Net 30,68.0,70.91078915869761,medium
SUP0155,Supplier_0155,packaging,Central,US,14.771263051845327,11435,15,Net 45,74.0,74.3787831510804,medium
SUP0156,Supplier_0156,chemicals,East,DE,11.094514701245783,51057,25,Net 30,84.0,87.56680232261682,low
SUP0157,Supplier_0157,plastics,South,SG,28.348079747674962,38632,15,Net 45,60.0,58.780138558965064,high
SUP0158,Supplier_0158,chemicals,Central,SG,7.199207054988632,30258,16,Net 60,80.0,81.80793422195508,medium
SUP0159,Supplier_0159,components,West,DE,30.83383283748011,13763,11,Net 15,77.0,78.02777405188321,medium
SUP0160,Supplier_0160,fasteners,West,US,17.7336420838645,23941,59,Net 15,90.0,95.05548802905201,low
SUP0161,Supplier_0161,fasteners,West,SG,8.7045247489593,17000,51,Net 45,99.0,100.0,low
SUP0162,Supplier_0162,fasteners,North,SG,12.581806527925778,22381,35,Net 15,84.0,73.4708320364535,medium
SUP0163,Supplier_0163,packaging,North,US,11.587049273852395,19198,97,Net 15,73.0,58.39275439028444,high
SUP0164,Supplier_0164,components,West,CN,7.803052783875952,7177,21,Net 60,73.0,79.5113450847348,medium
SUP0165,Supplier_0165,metals,North,US,18.758614877843005,40822,204,Net 30,73.0,80.72021310620259,medium
SUP0166,Supplier_0166,packaging,West,CN,8.176675594465253,21065,20,Net 45,91.0,84.3659503731633,medium
SUP0167,Supplier_0167,electronics,North,SG,4.0,16871,29,Net 60,69.0,56.91106985745341,high
SUP0168,Supplier_0168,chemicals,South,BR,14.962588233214616,16184,18,Net 15,62.0,62.643726336546806,high
SUP0169,Supplier_0169,plastics,West,SG,4.0,26826,31,Net 30,70.0,76.05044847127844,medium
SUP0170,Supplier_0170,packaging,West,BR,11.982713055459836,13472,44,Net 15,56.0,67.68436439582305,high
SUP0171,Supplier_0171,components,West,IN,10.727176891173153,6371,22,Net 30,59.0,62.35593421865943,high
SUP0172,Supplier_0172,plastics,West,BR,11.030271423793486,27554,85,Net 15,59.0,56.58384147219299,high
SUP0173,Supplier_0173,chemicals,North,DE,34.00770481272123,29304,29,Net 60,89.0,83.1946509596984,medium
SUP0174,Supplier_0174,chemicals,Central,DE,18.451292537356565,19736,29,Net 30,87.0,87.07443339585926,low
SUP0175,Supplier_0175,plastics,South,BR,19.962968071962656,11715,12,Net 15,86.0,84.05477942474583,medium
SUP0176,Supplier_0176,fasteners,North,DE,4.0,23130,32,Net 15,75.0,68.4020586127627,high
SUP0177,Supplier_0177,metals,Central,US,12.768294930904624,9842,22,Net 15,87.0,100.0,low
SUP0178,Supplier_0178,plastics,North,BR,19.722421039532097,12519,16,Net 15,62.0,73.60359461346886,medium
SUP0179,Supplier_0179,plastics,East,SG,9.803768696695949,14575,14,Net 15,95.0,100.0,low
SUP0180,Supplier_0180,electronics,East,SG,25.264502748143883,35037,159,Net 45,77.0,71.01447241424067,medium
SUP0181,Supplier_0181,components,West,IN,8.378427312791759,18043,20,Net 60,97.0,100.0,low
SUP0182,Supplier_0182,packaging,North,SG,15.709070913078595,17217,8,Net 60,61.0,65.15757166173636,high
SUP0183,Supplier_0183,metals,North,IN,13.31158688019553,64542,15,Net 60,77.0,79.87654655732635,medium
SUP0184,Supplier_0184,plastics,East,CN,19.31456527505533,26738,23,Net 60,86.0,94.12282423578455,low
SUP0185,Supplier_0185,plastics,East,CN,12.876079425156593,26541,35,Net 30,77.0,81.1299124285983,medium
SUP0186,Supplier_0186,components,West,BR,15.8328509834325,17973,36,Net 30,75.0,79.81009253597819,medium
SUP0187,Supplier_0187,electronics,West,MX,16.110959265776117,15866,39,Net 45,62.0,66.13989084191937,high
SUP0188,Supplier_0188,chemicals,North,IN,12.124897940869591,6617,15,Net 30,72.0,74.21514415201369,medium
SUP0189,Supplier_0189,metals,Central,US,21.8807509479769,37526,31,Net 45,65.0,53.406527656857804,high
SUP0190,Supplier_0190,plastics,East,CN,19.9071069986994,28185,13,Net 60,68.0,68.54353700316862,high
SUP0191,Supplier_0191,packaging,Central,MX,17.29108843797466,19959,15,Net 15,85.0,81.38475226748069,medium
SUP0192,Supplier_0192,packaging,Central,IN,14.556333332304336,20425,12,Net 60,83.0,74.68103377533987,medium
SUP0193,Supplier_0193,components,North,CN,24.372352244159977,33020,10,Net 60,82.0,92.93180802545535,low
SUP0194,Supplier_0194,packaging,East,DE,16.11332604948655,9366,51,Net 45,71.0,82.23846971575708,medium
SUP0195,Supplier_0195,chemicals,East,DE,15.546421697392503,15923,39,Net 30,98.0,100.0,low
SUP0196,Supplier_0196,electronics,East,SG,18.837520239105007,11790,48,Net 30,58.0,59.65888720956318,high
SUP0197,Supplier_0197,chemicals,South,DE,31.572693463766804,58356,25,Net 15,70.0,78.77906328619227,medium
SUP0198,Supplier_0198,components,East,CN,7.277150335830369,35653,42,Net 30,60.0,60.07834567391187,high
SUP0199,Supplier_0199,packaging,East,BR,24.15885514444284,6558,7,Net 45,70.0,71.31818229983557,medium
SUP0200,Supplier_0200,components,North,DE,4.0,9579,44,Net 45,98.0,90.89243609199711,low
SUP0201,Supplier_0201,packaging,South,US,19.738185265828992,20480,27,Net 15,71.0,73.58044347924246,medium
SUP0202,Supplier_0202,packaging,North,MX,30.600662620869848,16986,38,Net 45,95.0,95.3925085347587,low
SUP0203,Supplier_0203,packaging,Central,IN,21.909348195738456,10631,32,Net 60,77.0,68.53276124057598,high
SUP0204,Supplier_0204,packaging,West,BR,19.36500062831834,64191,12,Net 15,86.0,85.66721877319212,low
SUP0205,Supplier_0205,electronics,South,BR,13.516404249575395,26157,8,Net 15,75.0,74.48175783493075,medium
SUP0206,Supplier_0206,electronics,South,CN,18.248377603908434,28599,14,Net 60,66.0,77.68414758319017,medium
SUP0207,Supplier_0207,packaging,North,US,15.983497476773149,15053,36,Net 45,89.0,94.81238663533716,low
SUP0208,Supplier_0208,plastics,South,MX,11.712187136549158,32769,39,Net 45,98.0,98.07439535409453,low
SUP0209,Supplier_0209,packaging,Central,SG,15.680995076201041,17867,9,Net 60,66.0,67.61711751370704,high
SUP0210,Supplier_0210,packaging,North,DE,19.587049285011517,18847,12,Net 45,90.0,90.28738045767729,low
SUP0211,Supplier_0211,chemicals,North,BR,11.862263451754878,30824,14,Net 45,66.0,64.68105909882894,high
SUP0212,Supplier_0212,plastics,Central,BR,11.549745434522528,8991,19,Net 15,87.0,79.96422321697614,medium
SUP0213,Supplier_0213,plastics,East,BR,7.118052499262605,53016,9,Net 60,90.0,89.01816279555496,low
SUP0214,Supplier_0214,electronics,North,IN,21.12580020871117,24350,9,Net 60,75.0,70.15036133175866,medium
SUP0215,Supplier_0215,packaging,East,SG,22.362586095736482,44556,13,Net 30,88.0,79.87294899699955,medium
SUP0216,Supplier_0216,plastics,West,DE,19.85328355389214,12191,26,Net 45,67.0,70.32294179455897,medium
SUP0217,Supplier_0217,fasteners,South,US,25.721363941829328,13256,10,Net 45,58.0,60.54322028956603,high
SUP0218,Supplier_0218,chemicals,South,DE,18.70294109664582,11625,22,Net 15,59.0,47.3864011761075,high
SUP0219,Supplier_0219,components,West,US,21.136087498926052,25277,51,Net 15,75.0,74.20254985628168,medium
SUP0220,Supplier_0220,plastics,East,US,20.4306994051005,22840,9,Net 45,95.0,100.0,low
SUP0221,Supplier_0221,packaging,Central,BR,17.26767984465434,17061,21,Net 45,60.0,66.88495430282609,high
SUP0222,Supplier_0222,plastics,South,CN,13.753425374962822,12610,50,Net 45,75.0,81.66793947875405,medium
SUP0223,Supplier_0223,components,South,DE,35.71322092633529,10974,18,Net 30,86.0,86.2529358448595,low
SUP0224,Supplier_0224,metals,North,IN,14.384392161171931,21446,16,Net 60,64.0,58.507205368200516,high
SUP0225,Supplier_0225,metals,West,BR,12.672978311036509,17050,55,Net 30,87.0,79.9559576221726,medium
SUP0226,Supplier_0226,packaging,East,SG,21.472078587600855,15107,19,Net 15,68.0,70.23993188087732,medium
SUP0227,Supplier_0227,electronics,South,SG,20.014835322360042,51580,53,Net 15,91.0,93.46532022337355,low
SUP0228,Supplier_0228,fasteners,West,IN,6.761667619117381,21051,33,Net 60,81.0,89.36765222543292,low
SUP0229,Supplier_0229,components,South,US,26.98142603650991,44290,19,Net 45,79.0,86.14986772722354,low
SUP0230,Supplier_0230,plastics,North,US,17.24644339719333,16427,34,Net 30,62.0,61.14051373254738,high
SUP0231,Supplier_0231,components,East,US,9.112551238274236,25200,30,Net 15,75.0,66.91266178740435,high
SUP0232,Supplier_0232,electronics,East,MX,27.510272914830992,21364,50,Net 15,93.0,90.92580711942917,low
SUP0233,Supplier_0233,plastics,East,DE,23.00540457276923,8658,16,Net 15,55.0,56.41200276626841,high
SUP0234,Supplier_0234,packaging,East,SG,7.883664064416687,48319,25,Net 15,89.0,87.68645890496887,low
SUP0235,Supplier_0235,metals,Central,MX,32.217462722061796,20448,23,Net 45,77.0,73.24368829749524,medium
SUP0236,Supplier_0236,chemicals,South,MX,23.27037894692954,33207,40,Net 15,87.0,88.64375129730435,low
SUP0237,Supplier_0237,packaging,South,DE,17.91843107499963,14565,11,Net 15,84.0,80.72427468083103,medium
SUP0238,Supplier_0238,plastics,East,CN,30.721750444974234,20117,49,Net 30,74.0,69.91757045578507,high
SUP0239,Supplier_0239,metals,North,CN,19.274382270637126,13673,34,Net 45,68.0,70.02444342297235,medium
SUP0240,Supplier_0240,plastics,North,US,17.775335399167744,43468,9,Net 30,83.0,80.38704822916017,medium
SUP0241,Supplier_0241,components,East,BR,12.717599071824088,26141,57,Net 15,61.0,62.586678528359286,high
SUP0242,Supplier_0242,electronics,East,SG,22.654803514456628,26953,117,Net 45,81.0,82.7758261485388,medium
SUP0243,Supplier_0243,components,West,DE,21.812823738591838,46490,49,Net 30,59.0,51.59371149290477,high
SUP0244,Supplier_0244,plastics,North,CN,18.11744111911769,41605,66,Net 15,84.0,80.87193269487481,medium
SUP0245,Supplier_0245,chemicals,Central,BR,11.680109169059175,33554,26,Net 45,83.0,92.34555010945701,low
SUP0246,Supplier_0246,fasteners,East,US,19.039438833328592,10077,7,Net 60,58.0,50.446483167227136,high
SUP0247,Supplier_0247,plastics,North,SG,17.441609713902896,15023,6,Net 45,89.0,75.24174608169155,medium
SUP0248,Supplier_0248,fasteners,South,MX,7.332205450126391,12681,29,Net 15,73.0,60.898006503923675,high
SUP0249,Supplier_0249,electronics,South,BR,6.225501189406515,32864,16,Net 30,90.0,90.18921465274835,low
SUP0250,Supplier_0250,electronics,East,SG,22.521227030478155,24193,12,Net 45,56.0,56.20096230721254,high
SUP0251,Supplier_0251,plastics,East,US,4.0,10251,23,Net 60,63.0,62.235529439736716,high
SUP0252,Supplier_0252,chemicals,East,BR,19.64328421569008,19854,37,Net 60,77.0,84.89223388803526,medium
SUP0253,Supplier_0253,metals,East,BR,14.175335537969405,9684,8,Net 60,63.0,45.6265761848309,high
