item_id,material_id,material_type,spec_grade,unit,supplier_id,category,lead_time_days,min_order_qty,price_per_unit,shelf_life_days,substitute_ids,bom_parent_sku
MATI0032,MAT0032,glass,Grade A,liter,SUP0164,pack,6.705535972656387,16,41.34,1278.5966581349483,"MAT0766,MAT1126,MAT1181",SKU0276
MATI0033,MAT0033,chem_pack,Grade A,g,SUP0794,sub-assembly,37.054696558308805,11,99.17,200.95015685805282,"MAT0895,MAT0001,MAT0283",SKU0044
MATI0034,MAT0034,chem_pack,Premium,box,SUP0200,sub-assembly,4.315287516988142,17,49.87,147.09508929116947,"MAT0942,MAT1055",SKU0272
MATI0035,MAT0035,plastic,Premium,pcs,SUP0224,raw,8.732508048209905,30,189.93,567.5314861414321,"MAT0637,MAT0065,MAT0501",SKU1176
MATI0036,MAT0036,glass,Premium,meter,SUP1179,pack,12.544898637656662,78,260.7,1377.5165500915243,"MAT0048,MAT0106",SKU0562
MATI0037,MAT0037,plastic,Grade A,liter,SUP1092,raw,15.457496825474568,8,140.55,816.1080543097839,"MAT0622,MAT0682",SKU0374
MATI0038,MAT0038,steel,Grade A,pcs,SUP0692,pack,20.085404044952227,38,61.44,844.4486470145509,"MAT1183,MAT0360",SKU1075
MATI0039,MAT0039,chem_pack,Grade B,pcs,SUP0778,consumable,19.733200080592844,22,66.37,307.3930395479697,"MAT0142,MAT0352",SKU0828
MATI0040,MAT0040,textile,Grade A,pcs,SUP0660,sub-assembly,13.77552977001663,6,131.86,411.4849570066134,"MAT0189,MAT0746",SKU0355
MATI0041,MAT0041,chem_pack,Grade B,pcs,SUP0892,raw,15.030266745518324,17,81.95,232.63127299583022,"MAT0342,MAT0162,MAT0149",SKU1061
MATI0042,MAT0042,aluminum,Grade C,liter,SUP0607,consumable,14.276901465776065,16,36.94,611.3767561707137,"MAT0170,MAT0063",SKU1092
MATI0043,MAT0043,plastic,Grade C,kg,SUP0733,pack,17.355795428800747,18,28.78,791.193645495167,"MAT0850,MAT0499",SKU0707
MATI0044,MAT0044,aluminum,Grade B,kg,SUP0883,consumable,22.754258480514004,34,257.87,745.2125056168884,MAT1105,SKU1158
MATI0045,MAT0045,plastic,Grade B,pcs,SUP0953,consumable,8.793893476091583,59,53.0,608.618506190257,"MAT0862,MAT0729",SKU0684
MATI0046,MAT0046,electronics,Grade B,pcs,SUP0714,pack,18.206449723837736,39,184.51,306.25563164502825,MAT1002,SKU0066
MATI0047,MAT0047,electronics,Grade C,pcs,SUP0890,component,15.374520202026185,20,114.79,243.8238640921831,"MAT0535,MAT1040,MAT0663",SKU0065
MATI0048,MAT0048,aluminum,Grade A,liter,SUP0180,component,21.14826321177452,22,61.12,958.206640452731,"MAT0240,MAT0964,MAT0441",SKU1188
MATI0049,MAT0049,steel,Grade A,box,SUP0061,component,8.010469575715124,63,104.21,845.9852401836285,"MAT0296,MAT0945,MAT0637",SKU0459
MATI0050,MAT0050,textile,Grade C,g,SUP0123,component,7.31218768483328,9,28.29,442.02450351687196,"MAT0893,MAT0197",SKU1168
MATI0051,MAT0051,aluminum,Grade C,g,SUP0894,component,21.19368811495915,38,147.59,818.6388844912187,"MAT0626,MAT1108,MAT0314",SKU0663
MATI0052,MAT0052,electronics,Grade A,kg,SUP0364,pack,30.561149505633413,9,78.51,303.9681929856654,"MAT0561,MAT0240,MAT0190",SKU0400
MATI0053,MAT0053,steel,Grade C,kg,SUP0948,component,17.709871364505595,7,77.08,717.5165239128212,"MAT1105,MAT0768,MAT0038",SKU0210
MATI0054,MAT0054,plastic,Grade B,g,SUP1045,component,23.920703840852113,26,52.05,508.1553571137663,MAT1108,SKU0207
MATI0055,MAT0055,plastic,Premium,meter,SUP0842,raw,9.995378526691793,6,57.12,584.7183626378475,"MAT1179,MAT0053,MAT1111",SKU0215
MATI0056,MAT0056,glass,Grade C,liter,SUP0483,sub-assembly,21.57370793466079,14,98.47,1008.7395083430332,"MAT0371,MAT0612",SKU0141
MATI0057,MAT0057,electronics,Grade B,meter,SUP0128,raw,34.52489668521831,41,81.94,222.29426614374051,"MAT0449,MAT0456,MAT0661",SKU0144
MATI0058,MAT0058,textile,Premium,liter,SUP1047,consumable,6.888699810825615,10,33.19,350.7188273901605,"MAT1165,MAT0761",SKU0846
MATI0059,MAT0059,plastic,Grade C,g,SUP0404,sub-assembly,36.1163060499855,53,66.55,740.4913575287876,"MAT0081,MAT0231",SKU0752
MATI0060,MAT0060,textile,Grade A,box,SUP0688,pack,20.663829055252044,4,55.44,440.9792143705778,"MAT0864,MAT0120",SKU0620
MATI0061,MAT0061,glass,Grade C,meter,SUP0869,sub-assembly,13.49202132492892,34,56.71,1108.3204026443705,MAT1139,SKU0238
MATI0062,MAT0062,chem_pack,Grade C,liter,SUP1116,raw,17.921934474529134,7,137.97,208.14240660681608,"MAT0924,MAT0959",SKU0373
MATI0063,MAT0063,chem_pack,Premium,g,SUP0624,consumable,14.349782910476256,16,197.17,341.7118299788311,"MAT0141,MAT0639",SKU0100
MATI0064,MAT0064,chem_pack,Grade A,g,SUP1062,sub-assembly,23.571193381899533,20,231.15,224.5759575613776,MAT0865,SKU0910
MATI0065,MAT0065,aluminum,Premium,liter,SUP0871,raw,17.378196342790474,15,54.79,740.4623829287991,MAT0629,SKU1005
MATI0066,MAT0066,aluminum,Grade B,box,SUP0452,sub-assembly,30.467970371683435,15,172.45,637.98171153016,MAT1175,SKU0005
MATI0067,MAT0067,aluminum,Grade C,meter,SUP0419,raw,7.491380878076729,7,51.79,692.2827362267158,"MAT1083,MAT1145",SKU1077
MATI0068,MAT0068,glass,Grade A,box,SUP0662,pack,27.89728072262107,42,36.01,1214.6686839738018,"MAT0763,MAT0518",SKU0465
MATI0069,MAT0069,electronics,Grade A,kg,SUP0859,sub-assembly,31.70012831056661,8,31.09,227.63317516254185,"MAT0757,MAT1036",SKU0385
MATI0070,MAT0070,aluminum,Premium,kg,SUP0852,component,10.591742524444951,8,99.23,782.458354845171,"MAT0326,MAT0427,MAT0815",SKU0308
MATI0071,MAT0071,chem_pack,Grade C,g,SUP0886,sub-assembly,16.973474962771185,17,51.5,126.59579608873625,"MAT0951,MAT0676",SKU1018
MATI0072,MAT0072,steel,Grade B,box,SUP0055,consumable,23.077091695388503,11,52.91,889.042147532202,"MAT0877,MAT0951",SKU1155
MATI0073,MAT0073,glass,Grade A,liter,SUP0507,pack,13.875599525537911,30,103.58,1188.8077040842209,"MAT0945,MAT0513,MAT1021",SKU0219
MATI0074,MAT0074,plastic,Premium,box,SUP0192,raw,9.118288171279575,13,279.29,587.7459125659215,MAT0826,SKU0930
MATI0075,MAT0075,chem_pack,Grade A,box,SUP0042,raw,24.489751092082688,18,78.95,120.9235823278381,"MAT1096,MAT1018",SKU0333
MATI0076,MAT0076,plastic,Grade A,meter,SUP0877,raw,15.088955606645861,19,89.57,833.3560133459623,MAT0876,SKU0370
MATI0077,MAT0077,aluminum,Grade A,meter,SUP1185,component,18.390304735611725,32,72.34,960.5154509447416,"MAT0279,MAT0038,MAT1107",SKU0509
MATI0078,MAT0078,glass,Grade C,meter,SUP1098,component,23.075643111581357,13,28.54,1395.622929169257,MAT0175,SKU0349
MATI0079,MAT0079,steel,Grade B,g,SUP1049,pack,15.439959498550767,6,45.67,767.7607255741717,MAT0464,SKU0440
MATI0080,MAT0080,textile,Grade C,g,SUP0365,component,21.044781263934084,11,138.2,403.24841411433033,MAT0995,SKU0917
MATI0081,MAT0081,aluminum,Grade A,meter,SUP0190,consumable,19.58030937916381,35,102.52,728.6792594816699,"MAT0691,MAT0044,MAT0240",SKU1006
MATI0082,MAT0082,plastic,Grade C,kg,SUP0473,sub-assembly,23.82107537775079,22,46.03,700.9126600253525,"MAT0130,MAT0853,MAT0935",SKU0526
MATI0083,MAT0083,textile,Premium,meter,SUP0530,sub-assembly,39.89496205404914,14,65.95,424.01254330205256,"MAT0891,MAT0664",SKU1197
MATI0084,MAT0084,chem_pack,Premium,liter,SUP1050,pack,36.4581127016868,18,165.75,160.39853424871103,"MAT1121,MAT0668",SKU0008
MATI0085,MAT0085,textile,Premium,box,SUP0386,consumable,26.382950733465588,15,67.85,339.6417378499883,"MAT0107,MAT0651",SKU1103
MATI0086,MAT0086,electronics,Premium,meter,SUP0320,pack,23.03035393382056,29,506.81,244.58528118967175,"MAT0657,MAT1147,MAT1162",SKU0495
MATI0087,MAT0087,electronics,Premium,box,SUP1177,pack,6.703946375196466,22,185.16,217.18489234822223,MAT0198,SKU0981
MATI0088,MAT0088,electronics,Premium,pcs,SUP1112,pack,10.319975312131145,15,173.09,353.4765031774062,"MAT0299,MAT0193",SKU0586
MATI0089,MAT0089,plastic,Premium,g,SUP0859,component,29.101780151601584,31,106.72,603.3659467050443,MAT0067,SKU0613
MATI0090,MAT0090,plastic,Grade A,box,SUP0170,component,11.223454316723467,36,185.76,711.7881209356701,MAT0482,SKU0073
MATI0091,MAT0091,chem_pack,Grade A,liter,SUP0676,consumable,23.295472652482093,10,133.82,286.22610436217906,"MAT1186,MAT0751",SKU0100
MATI0092,MAT0092,aluminum,Premium,meter,SUP0303,sub-assembly,2.0,10,89.71,821.5228867538821,MAT0399,SKU0955
MATI0093,MAT0093,chem_pack,Grade B,pcs,SUP0186,pack,11.751234995675809,76,123.39,152.0079827935299,"MAT0224,MAT0095",SKU1025
MATI0094,MAT0094,steel,Premium,kg,SUP0043,consumable,17.05488596550696,26,191.95,706.103673258688,"MAT0808,MAT1115,MAT1110",SKU0060
MATI0095,MAT0095,electronics,Grade C,liter,SUP0384,sub-assembly,18.564463387712337,49,167.86,271.70585583926635,"MAT0091,MAT0313",SKU0307
MATI0096,MAT0096,aluminum,Grade B,kg,SUP0113,component,21.752677136659116,31,95.59,1095.255550472259,"MAT0265,MAT1143,MAT0578",SKU0351
MATI0097,MAT0097,electronics,Grade C,g,SUP0109,pack,23.385387924968104,23,94.72,413.4643895161946,"MAT0707,MAT0382,MAT0059",SKU0397
MATI0098,MAT0098,chem_pack,Grade B,box,SUP0307,pack,12.600527704974409,5,203.23,227.5942488744037,"MAT0847,MAT0248,MAT0968",SKU0580
MATI0099,MAT0099,chem_pack,Grade A,liter,SUP0571,component,10.447167029739852,8,26.29,219.828558709434,"MAT0699,MAT0168",SKU0062
MATI0100,MAT0100,plastic,Grade B,kg,SUP0787,consumable,32.71842086269454,26,73.82,758.4684907472397,"MAT0024,MAT1134",SKU0898
MATI0101,MAT0101,aluminum,Grade C,g,SUP1043,consumable,24.46474900074775,10,43.6,1016.2900416269563,MAT0082,SKU0132
MATI0102,MAT0102,plastic,Grade C,liter,SUP0242,pack,26.086581908258815,16,53.42,731.2923489372354,"MAT0178,MAT0227",SKU1141
MATI0103,MAT0103,textile,Grade B,kg,SUP0941,sub-assembly,18.139432825469623,31,86.67,417.23338145897196,MAT0608,SKU0962
MATI0104,MAT0104,glass,Grade A,g,SUP1128,component,13.616765381613956,19,178.89,814.3919887102029,"MAT0339,MAT0159,MAT0711",SKU0345
MATI0105,MAT0105,electronics,Grade A,kg,SUP0924,consumable,27.799008769320086,23,59.09,390.84349281585565,"MAT1183,MAT0440,MAT0165",SKU0592
MATI0106,MAT0106,textile,Grade A,meter,SUP0419,consumable,2.0,41,55.05,361.6658218266424,MAT0963,SKU1028
MATI0107,MAT0107,steel,Grade C,g,SUP0377,raw,5.310946457401091,44,36.31,946.2089740409829,"MAT1096,MAT0397",SKU0802
MATI0108,MAT0108,chem_pack,Grade B,meter,SUP0623,raw,24.80146451262942,17,77.84,171.85757549148136,"MAT0527,MAT0434,MAT1077",SKU0648
MATI0109,MAT0109,aluminum,Grade C,kg,SUP0994,consumable,21.405130812884366,39,27.21,667.9345523628613,MAT0491,SKU0845
MATI0110,MAT0110,steel,Grade C,kg,SUP0798,sub-assembly,23.797683531933842,10,223.21,884.0659916090358,MAT0625,SKU1002
MATI0111,MAT0111,aluminum,Premium,kg,SUP0541,component,12.950449976205434,20,201.31,1060.0270742910025,MAT0117,SKU0480
MATI0112,MAT0112,electronics,Grade A,kg,SUP0164,pack,6.460918506129781,25,85.16,314.2043751016596,"MAT0876,MAT0197,MAT0353",SKU0247
MATI0113,MAT0113,electronics,Premium,kg,SUP0802,pack,35.45025776095967,17,160.68,278.87317695421103,"MAT0620,MAT1081,MAT0445",SKU0988
MATI0114,MAT0114,glass,Premium,g,SUP0826,pack,26.18858729645602,15,76.65,883.5086706038167,"MAT0834,MAT0990,MAT0729",SKU0817
MATI0115,MAT0115,glass,Grade B,liter,SUP0604,consumable,15.399754763054657,9,76.89,837.1331291407795,"MAT0062,MAT0953,MAT0227",SKU0245
MATI0116,MAT0116,aluminum,Grade C,box,SUP0145,consumable,31.183124322956044,17,39.06,903.1546111796613,MAT0534,SKU0607
MATI0117,MAT0117,chem_pack,Premium,meter,SUP0532,consumable,31.81625352540875,6,63.83,349.9661256078068,MAT1149,SKU0357
MATI0118,MAT0118,glass,Grade A,kg,SUP0992,sub-assembly,22.393780907041418,16,60.12,1068.7513984369753,"MAT1155,MAT0316,MAT0109",SKU0511
MATI0119,MAT0119,steel,Premium,liter,SUP1145,component,21.896746111608692,18,273.48,818.497413978656,"MAT1085,MAT0511",SKU0476
MATI0120,MAT0120,glass,Grade C,liter,SUP0586,raw,11.304742082376327,28,21.16,1026.0573159727858,"MAT0579,MAT0111,MAT0985",SKU0683
MATI0121,MAT0121,steel,Grade C,box,SUP1018,sub-assembly,19.773869378934528,8,119.57,955.1080050430713,"MAT1010,MAT0439,MAT0756",SKU0815
MATI0122,MAT0122,steel,Grade B,meter,SUP0108,consumable,6.269199572236181,22,117.57,1076.825616720576,"MAT0600,MAT0126",SKU0862
MATI0123,MAT0123,aluminum,Premium,pcs,SUP0081,sub-assembly,28.884121061945102,25,93.94,826.74946887008,MAT1167,SKU0259
MATI0124,MAT0124,steel,Premium,g,SUP0850,pack,23.489956439268482,17,187.25,1163.2964332323122,"MAT0150,MAT0681,MAT0477",SKU0834
MATI0125,MAT0125,chem_pack,Premium,liter,SUP1166,consumable,17.55328842649148,23,180.42,273.78531855587596,"MAT1011,MAT0220",SKU1106
MATI0126,MAT0126,textile,Premium,kg,SUP0092,pack,9.696270497466866,21,27.6,236.17647441394732,"MAT0355,MAT1115,MAT0372",SKU1091
MATI0127,MAT0127,glass,Grade C,pcs,SUP0178,component,17.646493600473075,3,40.47,868.5699381140283,"MAT0714,MAT1016,MAT0081",SKU0908
MATI0128,MAT0128,electronics,Grade C,kg,SUP1170,pack,28.836259275519385,10,65.9,312.35979487743276,MAT0554,SKU0439
MATI0129,MAT0129,textile,Grade B,g,SUP1150,component,27.739629323878635,65,166.62,440.8408080099008,"MAT0951,MAT0507",SKU0225
MATI0130,MAT0130,textile,Grade A,meter,SUP0545,sub-assembly,25.81182360966953,26,66.64,359.9897245129934,MAT0753,SKU0201
MATI0131,MAT0131,glass,Grade A,meter,SUP0052,consumable,5.313060103407497,12,74.68,1282.3412805178693,"MAT0637,MAT0605",SKU0626
MATI0132,MAT0132,plastic,Grade B,liter,SUP0460,consumable,25.40798572648295,22,34.88,532.1375664716985,"MAT0016,MAT0441,MAT1010",SKU0858
MATI0133,MAT0133,steel,Grade C,meter,SUP0808,component,23.90883476977371,27,59.6,864.4533710482746,MAT0921,SKU0189
MATI0134,MAT0134,glass,Grade C,box,SUP0378,pack,23.82649777631064,45,25.28,828.8459111001057,MAT1111,SKU0302
MATI0135,MAT0135,electronics,Grade B,liter,SUP0398,consumable,23.41719994243266,14,214.93,265.46042222582787,"MAT0480,MAT1029,MAT1083",SKU1183
MATI0136,MAT0136,chem_pack,Grade B,box,SUP0540,consumable,19.928429472356182,12,87.04,256.5070815745846,MAT0401,SKU0672
MATI0137,MAT0137,aluminum,Grade B,box,SUP0544,raw,23.32017958693866,13,41.11,1062.785744275146,"MAT0772,MAT1180",SKU0947
MATI0138,MAT0138,chem_pack,Premium,pcs,SUP0938,pack,18.961850466657783,12,332.09,230.43645298409325,MAT1044,SKU0753
MATI0139,MAT0139,steel,Premium,g,SUP0599,raw,4.57295561354146,12,54.53,887.7317981876953,"MAT0634,MAT1103",SKU0391
MATI0140,MAT0140,aluminum,Grade B,meter,SUP0625,consumable,23.86556334081544,20,97.93,939.7609013261853,"MAT0999,MAT0403",SKU0992
MATI0141,MAT0141,electronics,Grade C,liter,SUP0489,pack,28.304952383287777,14,33.82,352.357745688317,MAT1075,SKU0203
MATI0142,MAT0142,steel,Premium,liter,SUP0772,consumable,2.9294762874629354,17,142.34,785.5639489524461,MAT0561,SKU0332
MATI0143,MAT0143,glass,Grade B,meter,SUP0838,raw,4.52980797528164,55,132.85,1220.3457988920522,MAT0855,SKU1061
MATI0144,MAT0144,textile,Grade B,g,SUP0069,sub-assembly,5.665364558119514,10,47.45,361.89679244869285,"MAT0677,MAT0903",SKU0186
MATI0145,MAT0145,steel,Grade C,meter,SUP0050,raw,26.929689852334068,22,30.5,954.584317381059,"MAT0365,MAT0271,MAT0986",SKU1000
MATI0146,MAT0146,aluminum,Grade C,liter,SUP1023,pack,8.286959387782684,9,31.08,1090.6728260865286,"MAT0006,MAT0269,MAT1057",SKU0227
MATI0147,MAT0147,plastic,Premium,pcs,SUP0059,raw,19.6090929388889,31,96.24,808.4688575992354,"MAT1045,MAT0199,MAT0434",SKU0755
MATI0148,MAT0148,electronics,Grade A,g,SUP0635,pack,26.01183865736681,35,431.2,375.56628017225614,"MAT0282,MAT0486",SKU0104
MATI0149,MAT0149,electronics,Premium,box,SUP1003,sub-assembly,10.716690543331366,10,302.14,377.1177514678012,"MAT0608,MAT0724,MAT0443",SKU0600
MATI0150,MAT0150,aluminum,Grade A,g,SUP0629,consumable,8.32903772893094,11,205.28,923.7955051859926,"MAT0606,MAT0932,MAT0772",SKU0428
MATI0151,MAT0151,plastic,Grade B,liter,SUP0107,raw,26.910960624079454,27,36.85,510.2617783036321,MAT0406,SKU0124
MATI0152,MAT0152,aluminum,Grade B,liter,SUP0303,raw,13.278614395765105,15,162.26,784.2358675582734,"MAT0312,MAT1045,MAT0809",SKU0007
MATI0153,MAT0153,glass,Grade C,box,SUP0189,component,25.768554549671883,42,93.28,1260.121655378312,"MAT0172,MAT1080",SKU0829
MATI0154,MAT0154,electronics,Grade C,box,SUP0093,component,14.98966578970975,8,99.12,223.14556802096925,"MAT0333,MAT0438,MAT0249",SKU0503
MATI0155,MAT0155,steel,Grade A,g,SUP0423,sub-assembly,13.914653482790689,34,69.63,1178.7003039295785,MAT0244,SKU0762
MATI0156,MAT0156,aluminum,Premium,kg,SUP0404,raw,29.949678973700834,69,213.95,603.5487865013652,MAT0518,SKU0566
MATI0157,MAT0157,plastic,Premium,kg,SUP0786,consumable,34.03625134145837,22,66.25,723.3662273163511,MAT0103,SKU0874
MATI0158,MAT0158,steel,Grade A,kg,SUP0983,pack,20.17778295258968,12,150.87,742.251971703074,"MAT0541,MAT0496",SKU0293
MATI0159,MAT0159,chem_pack,Grade C,pcs,SUP0693,pack,13.731918171362832,11,65.69,302.50324404066447,"MAT1043,MAT1128,MAT0670",SKU0802
MATI0160,MAT0160,electronics,Premium,g,SUP0657,pack,22.21607584913662,16,88.13,328.03967389097335,"MAT0071,MAT0786",SKU0350
MATI0161,MAT0161,plastic,Grade A,pcs,SUP0964,pack,18.735466646313245,27,66.46,661.9554539309911,"MAT1010,MAT0280",SKU0170
MATI0162,MAT0162,steel,Grade B,g,SUP0317,raw,29.31043977625375,7,273.63,750.6865111487275,MAT0286,SKU0805
MATI0163,MAT0163,glass,Grade B,meter,SUP0574,sub-assembly,21.61941341787029,15,34.78,1071.0387893750901,MAT0136,SKU0797
MATI0164,MAT0164,plastic,Premium,liter,SUP0712,consumable,24.569819272464304,19,180.37,639.857187519431,"MAT0483,MAT0889,MAT0255",SKU0247
MATI0165,MAT0165,aluminum,Grade C,kg,SUP0968,consumable,24.230794081045616,46,102.49,693.9576176718426,"MAT0923,MAT0441,MAT0045",SKU0175
MATI0166,MAT0166,plastic,Grade A,meter,SUP0422,sub-assembly,16.844554144975962,55,75.88,573.4783622423622,"MAT0091,MAT1017,MAT0037",SKU0927
MATI0167,MAT0167,chem_pack,Grade C,liter,SUP0601,pack,12.059538620530642,16,59.27,323.39464380905775,"MAT0876,MAT0387,MAT0472",SKU0140
MATI0168,MAT0168,aluminum,Grade C,pcs,SUP0269,raw,5.415390282470243,9,29.27,764.3637265416966,"MAT0629,MAT0729,MAT0879",SKU1117
MATI0169,MAT0169,chem_pack,Grade C,box,SUP0378,component,25.582120446460003,19,178.84,143.85327277189674,MAT0116,SKU0446
MATI0170,MAT0170,steel,Premium,meter,SUP0888,component,20.50517337494787,20,58.48,779.0755220972854,MAT0199,SKU1182
MATI0171,MAT0171,glass,Grade A,box,SUP1014,sub-assembly,38.31900042158415,37,15.91,1196.6371293296877,"MAT0521,MAT1038,MAT0439",SKU0352
MATI0172,MAT0172,steel,Grade B,g,SUP0201,raw,12.266031384219216,13,101.07,884.818633179955,"MAT0445,MAT0225",SKU0150
MATI0173,MAT0173,textile,Grade A,g,SUP1190,consumable,25.64042018635622,10,37.69,216.90441340932387,"MAT0455,MAT1033,MAT0679",SKU0281
MATI0174,MAT0174,plastic,Premium,kg,SUP0702,consumable,25.2260084982983,18,93.16,521.9483542234157,MAT0092,SKU0799
MATI0175,MAT0175,textile,Premium,meter,SUP1187,raw,12.131578889279819,14,44.43,217.83799670026278,MAT0585,SKU0816
MATI0176,MAT0176,chem_pack,Premium,pcs,SUP0881,consumable,8.372702919404789,14,112.32,296.9509090750719,MAT0436,SKU1132
MATI0177,MAT0177,chem_pack,Grade B,liter,SUP0155,component,10.918393142920564,10,116.79,324.00020813141236,MAT0387,SKU1179
MATI0178,MAT0178,electronics,Grade B,pcs,SUP0074,component,8.37789717841478,8,131.85,382.84821854574454,MAT0600,SKU1137
MATI0179,MAT0179,plastic,Grade B,box,SUP1094,pack,13.11768367635884,26,156.33,718.2482990798601,MAT0863,SKU0432
MATI0180,MAT0180,electronics,Grade A,kg,SUP0835,sub-assembly,18.168315249457912,21,135.72,274.134546586725,"MAT0923,MAT0709",SKU0583
MATI0181,MAT0181,glass,Premium,kg,SUP1039,raw,6.709159263314184,11,106.1,990.3750292361664,MAT0867,SKU1001
MATI0182,MAT0182,textile,Grade A,box,SUP0014,consumable,2.0,29,73.4,423.61211632902774,"MAT0859,MAT0783,MAT0494",SKU0272
MATI0183,MAT0183,textile,Grade C,meter,SUP0190,raw,20.772039024685366,6,89.81,442.3671611079932,"MAT0408,MAT0683,MAT0316",SKU0794
MATI0184,MAT0184,electronics,Grade A,pcs,SUP0975,raw,13.622246330592201,14,68.8,405.3423562801044,"MAT0873,MAT0024,MAT0549",SKU0854
MATI0185,MAT0185,electronics,Grade A,box,SUP1017,raw,15.730949394840486,20,104.3,416.3574134570306,"MAT0893,MAT0138,MAT1134",SKU1019
MATI0186,MAT0186,glass,Grade C,g,SUP0334,pack,17.943598423659257,35,51.55,1222.9825524942987,"MAT0063,MAT0506,MAT0375",SKU0265
