user_id,item_id,rating,consumption_qty,orders_placed,stockouts,wastage_rate
U0012,MATI0699,4.0,6,5,5,0.0724
U0012,MATI1004,5.0,35,9,2,0.0
U0012,MATI0676,5.0,15,6,2,0.0295
U0012,MATI0501,5.0,26,8,3,0.0
U0012,MATI0530,4.0,47,18,2,0.0763
U0012,MATI0048,5.0,26,13,4,0.0
U0012,MATI1180,5.0,18,6,4,0.0448
U0013,MATI0160,3.0,18,8,4,0.0701
U0013,MATI0268,4.0,28,15,3,0.0231
U0013,MATI0296,5.0,17,4,1,0.0
U0013,MATI1109,2.0,17,12,9,0.1387
U0013,MATI0075,2.0,7,5,10,0.183
U0013,MATI0701,3.0,11,6,2,0.138
U0013,MATI1016,3.0,8,4,6,0.095
U0013,MATI0326,5.0,67,30,2,0.0699
U0013,MATI0937,5.0,42,12,3,0.0151
U0013,MATI0332,5.0,29,11,2,0.0
U0014,MATI0350,4.0,24,9,2,0.1135
U0014,MATI0626,3.0,11,5,1,0.0919
U0014,MATI1009,4.0,57,21,5,0.117
U0014,MATI0037,5.0,9,5,6,0.0
U0014,MATI0312,5.0,30,15,3,0.0
U0014,MATI0832,2.0,16,4,4,0.097
U0014,MATI0264,5.0,34,14,3,0.0
U0014,MATI0071,2.0,17,3,5,0.2406
U0014,MATI0610,4.0,21,7,1,0.0279
U0014,MATI0913,5.0,33,18,5,0.0444
U0015,MATI0106,4.0,55,15,4,0.002
U0015,MATI1009,3.0,61,25,5,0.1315
U0015,MATI0878,5.0,11,12,2,0.0
U0015,MATI0571,5.0,18,11,4,0.0
U0015,MATI0919,4.0,31,10,3,0.0473
U0015,MATI0521,2.0,12,4,8,0.2238
U0015,MATI0825,4.0,17,8,5,0.0631
U0015,MATI0661,3.0,16,7,4,0.1808
U0015,MATI0417,3.0,17,4,4,0.1467
U0015,MATI0518,5.0,33,18,2,0.0
U0016,MATI1049,4.0,29,9,5,0.0199
U0016,MATI1098,5.0,8,2,4,0.0
U0016,MATI1056,1.0,7,5,6,0.3099
U0016,MATI0057,1.0,23,13,7,0.2655
U0016,MATI0237,5.0,24,8,1,0.0
U0016,MATI0744,5.0,22,6,0,0.018
U0016,MATI0757,3.0,9,5,3,0.0951
U0016,MATI0515,3.0,31,4,7,0.1746
U0016,MATI0679,5.0,14,7,0,0.0
U0016,MATI0421,5.0,28,14,4,0.0
U0017,MATI0785,4.0,20,10,3,0.0392
U0017,MATI0988,2.0,12,9,4,0.209
U0017,MATI0585,5.0,22,10,2,0.0
U0017,MATI0420,3.0,14,4,2,0.1012
U0017,MATI0994,4.0,11,8,7,0.0796
U0017,MATI0260,4.0,20,5,1,0.1469
U0017,MATI0323,4.0,14,7,3,0.0895
U0017,MATI1105,5.0,16,4,0,0.0
U0017,MATI0482,4.0,10,9,1,0.027
U0017,MATI0714,5.0,19,12,3,0.0078
U0018,MATI0345,3.0,21,8,4,0.0894
U0018,MATI0147,5.0,43,18,1,0.0
U0018,MATI0569,5.0,25,8,2,0.0968
U0018,MATI0454,5.0,18,18,3,0.0
U0018,MATI0747,4.0,22,15,1,0.09
U0018,MATI0394,3.0,21,12,3,0.2098
U0018,MATI0454,5.0,17,4,5,0.0
U0018,MATI0858,5.0,9,6,3,0.0
U0018,MATI0433,4.0,38,15,6,0.1008
U0018,MATI0550,5.0,11,5,2,0.0
U0019,MATI0027,3.0,11,5,5,0.1037
U0019,MATI0724,4.0,33,9,4,0.0576
U0019,MATI0404,5.0,7,2,5,0.0
U0019,MATI1101,5.0,6,4,3,0.0155
U0019,MATI0626,3.0,9,3,3,0.0767
U0019,MATI0312,5.0,29,14,2,0.0
U0019,MATI1110,5.0,45,13,3,0.0
U0019,MATI0414,5.0,25,10,3,0.0
U0019,MATI0270,3.0,5,4,4,0.0776
U0019,MATI0209,3.0,21,5,9,0.143
U0020,MATI0085,3.0,10,7,6,0.1034
U0020,MATI0574,3.0,8,2,1,0.0
U0020,MATI0312,5.0,34,14,0,0.0
U0020,MATI0332,5.0,20,9,1,0.0
U0020,MATI1098,5.0,4,2,2,0.0
U0020,MATI0832,2.0,17,10,10,0.0933
U0020,MATI0343,2.0,17,8,8,0.1661
U0020,MATI0697,4.0,32,15,2,0.0895
U0020,MATI0593,4.0,44,12,6,0.0686
U0020,MATI0491,5.0,23,5,4,0.0
U0021,MATI1157,5.0,31,9,1,0.0
U0021,MATI1126,3.0,9,5,5,0.0961
U0021,MATI0369,5.0,33,8,1,0.0
U0021,MATI1151,4.0,44,20,2,0.1147
U0021,MATI0963,4.0,94,28,4,0.1065
U0021,MATI0620,4.0,9,2,1,0.0805
U0021,MATI0914,2.0,26,6,4,0.2908
U0021,MATI1174,5.0,22,17,4,0.0
U0021,MATI0237,5.0,14,5,3,0.0
U0021,MATI0080,2.0,11,4,4,0.1973
U0022,MATI1141,4.0,5,1,2,0.034
U0022,MATI0870,1.0,18,7,10,0.2526
U0022,MATI1139,5.0,43,21,3,0.0617
U0022,MATI0962,4.0,18,10,4,0.0
U0022,MATI0017,5.0,73,29,1,0.0
U0022,MATI0783,4.0,24,10,3,0.0151
U0022,MATI0284,5.0,23,7,3,0.0178
U0022,MATI1187,3.0,16,4,5,0.1814
U0022,MATI0365,5.0,33,15,5,0.0112
U0022,MATI1058,5.0,7,4,2,0.0
U0023,MATI0690,3.0,17,6,4,0.0799
U0023,MATI0101,5.0,11,5,7,0.0667
U0023,MATI0856,5.0,25,15,2,0.032
U0023,MATI0980,5.0,27,4,1,0.0168
U0023,MATI1014,5.0,18,9,3,0.0
U0023,MATI0612,4.0,29,12,5,0.0933
U0023,MATI1183,2.0,8,2,8,0.2005
U0023,MATI0733,5.0,15,8,1,0.0
U0023,MATI0702,4.0,40,15,4,0.081
U0023,MATI0208,2.0,24,14,3,0.3051
U0024,MATI0206,5.0,24,12,8,0.0
U0024,MATI0113,3.0,16,5,2,0.1491
U0024,MATI0406,3.0,68,24,3,0.041
U0024,MATI0398,5.0,45,21,4,0.0
U0024,MATI0969,5.0,29,20,4,0.0
U0024,MATI0530,4.0,63,18,4,0.0646
U0024,MATI0799,5.0,22,8,3,0.0276
U0024,MATI0584,3.0,34,14,3,0.1263
U0024,MATI0818,5.0,20,10,4,0.0
U0024,MATI0842,5.0,50,21,4,0.0
U0025,MATI1159,5.0,16,5,3,0.0
U0025,MATI1057,4.0,19,8,6,0.0796
U0025,MATI0438,2.0,19,11,9,0.1833
U0025,MATI1047,5.0,31,19,2,0.0
U0025,MATI0025,5.0,20,15,2,0.0
U0025,MATI0299,3.0,14,7,4,0.1338
U0025,MATI0001,5.0,21,8,1,0.0
U0025,MATI0092,5.0,8,7,3,0.0
U0025,MATI0645,1.0,10,9,3,0.2548
U0025,MATI0646,5.0,21,10,2,0.0
U0026,MATI0966,5.0,16,5,1,0.0
U0026,MATI1085,5.0,17,6,3,0.0
U0026,MATI0092,5.0,18,5,1,0.0
U0026,MATI0031,4.0,15,3,2,0.0184
U0026,MATI0841,4.0,36,15,2,0.0162
U0026,MATI0793,4.0,4,1,4,0.0845
U0026,MATI0934,2.0,12,6,2,0.2041
U0026,MATI0997,3.0,18,9,7,0.0501
U0026,MATI0785,4.0,23,6,7,0.0313
U0026,MATI0332,5.0,19,11,2,0.0
U0027,MATI0989,4.0,21,10,6,0.0637
U0027,MATI0304,4.0,21,11,4,0.0
U0027,MATI0896,3.0,9,3,6,0.1158
U0027,MATI0153,5.0,41,24,4,0.0261
U0027,MATI0333,1.0,3,2,5,0.1258
U0027,MATI0174,4.0,18,7,3,0.049
U0027,MATI0257,3.0,20,17,6,0.1758
U0027,MATI0261,5.0,8,4,4,0.0337
U0027,MATI0093,2.0,56,21,4,0.155
U0027,MATI0011,3.0,6,1,9,0.1164
U0028,MATI1013,1.0,6,4,6,0.1886
U0028,MATI1023,3.0,37,10,3,0.0811
U0028,MATI0667,4.0,14,7,2,0.0697
U0028,MATI0511,4.0,20,8,3,0.1565
U0028,MATI0688,2.0,43,25,3,0.2342
U0028,MATI0953,4.0,13,8,6,0.0
U0028,MATI0173,3.0,12,4,8,0.1638
U0028,MATI0116,4.0,26,7,4,0.1257
U0028,MATI1020,4.0,30,7,2,0.0917
U0028,MATI0748,4.0,10,5,3,0.1062
U0029,MATI0906,5.0,4,3,1,0.0
U0029,MATI0423,5.0,10,3,2,0.0791
U0029,MATI0206,5.0,22,11,3,0.0
U0029,MATI0151,4.0,27,12,3,0.1469
U0029,MATI0246,5.0,13,6,5,0.0
U0029,MATI0569,5.0,27,19,3,0.0675
U0029,MATI0267,2.0,12,6,9,0.255
U0029,MATI0429,2.0,5,3,9,0.1039
U0029,MATI1047,5.0,41,15,2,0.0
U0029,MATI0755,5.0,31,8,2,0.0
U0030,MATI0910,3.0,17,4,3,0.0617
U0030,MATI0635,5.0,11,10,3,0.0093
U0030,MATI0405,5.0,28,13,3,0.0396
U0030,MATI1033,5.0,19,6,2,0.0
U0030,MATI1116,4.0,155,50,2,0.0928
U0030,MATI0111,5.0,18,14,5,0.0
U0030,MATI0568,1.0,19,9,8,0.3247
U0030,MATI0214,5.0,20,9,0,0.0
U0030,MATI0774,5.0,35,22,2,0.0359
U0030,MATI0877,2.0,19,10,2,0.1945
U0031,MATI0072,5.0,11,8,5,0.0159
U0031,MATI0568,1.0,26,17,9,0.351
U0031,MATI1196,4.0,17,7,5,0.0
U0031,MATI0878,5.0,25,6,0,0.0
U0031,MATI0023,5.0,13,7,2,0.0093
U0031,MATI0658,5.0,17,4,2,0.0
U0031,MATI0137,5.0,16,4,2,0.0049
U0031,MATI1073,4.0,32,14,1,0.0646
U0031,MATI0157,5.0,29,12,4,0.0426
U0031,MATI0411,4.0,7,5,3,0.023
U0032,MATI1028,3.0,30,9,5,0.1498
U0032,MATI0845,3.0,25,10,2,0.0769
U0032,MATI0773,4.0,12,8,3,0.0527
U0032,MATI0057,2.0,26,12,5,0.2476
U0032,MATI0103,4.0,31,16,5,0.0944
U0032,MATI0457,5.0,16,2,5,0.0
U0032,MATI0882,2.0,17,9,9,0.1288
U0032,MATI0092,5.0,12,5,1,0.0
U0032,MATI1176,3.0,5,3,2,0.0909
U0032,MATI1056,1.0,6,6,6,0.3001
U0033,MATI0318,3.0,7,1,4,0.0704
U0033,MATI0937,5.0,64,21,3,0.0122
U0033,MATI0483,1.0,5,5,4,0.274
U0033,MATI0731,5.0,16,12,1,0.0259
U0033,MATI0244,2.0,29,8,5,0.1764
U0033,MATI1103,5.0,23,11,1,0.0
U0033,MATI0462,4.0,37,14,4,0.1044
U0033,MATI0308,3.0,6,3,4,0.111
U0033,MATI0838,3.0,27,9,3,0.0255
U0033,MATI0180,4.0,24,7,3,0.113
U0034,MATI0485,1.0,13,7,9,0.1233
U0034,MATI1104,5.0,6,5,3,0.0
U0034,MATI0096,5.0,45,20,3,0.0
U0034,MATI0143,5.0,66,25,4,0.0
U0034,MATI0973,4.0,11,7,1,0.035
U0034,MATI0968,4.0,36,19,4,0.1077
U0034,MATI0099,4.0,7,6,2,0.0844
U0034,MATI0905,5.0,34,14,3,0.0278
U0034,MATI0918,3.0,40,19,4,0.139
U0034,MATI0205,5.0,28,15,1,0.0098
U0035,MATI0332,5.0,27,11,3,0.0
U0035,MATI0420,3.0,11,9,4,0.09
U0035,MATI0352,5.0,18,9,6,0.0483
U0035,MATI0282,5.0,13,2,3,0.0
U0035,MATI0485,1.0,12,4,3,0.1273
U0035,MATI0404,5.0,6,3,2,0.0
U0035,MATI0551,5.0,39,16,4,0.0
U0035,MATI0425,3.0,9,9,6,0.1412
U0035,MATI0302,2.0,28,10,7,0.2057
U0035,MATI0962,5.0,13,3,2,0.0
U0036,MATI0799,5.0,24,10,3,0.0299
U0036,MATI1122,1.0,44,18,4,0.2184
U0036,MATI0165,4.0,53,16,3,0.1338
U0036,MATI0588,5.0,20,13,6,0.0
U0036,MATI0453,5.0,18,4,3,0.0
U0036,MATI0283,2.0,21,8,9,0.2244
U0036,MATI0704,5.0,50,24,1,0.0
U0036,MATI0623,5.0,7,2,2,0.016
U0036,MATI1109,2.0,19,11,4,0.1312
U0036,MATI0996,4.0,10,8,5,0.0379
U0037,MATI0286,3.0,18,5,3,0.1208
U0037,MATI1090,4.0,13,7,3,0.1218
U0037,MATI1154,4.0,8,6,4,0.0554
U0037,MATI0158,4.0,15,6,4,0.0246
U0037,MATI0660,4.0,40,13,3,0.1084
U0037,MATI0824,2.0,14,13,4,0.1693
U0037,MATI1130,5.0,38,17,4,0.0092
U0037,MATI0378,4.0,25,6,6,0.1176
U0037,MATI0957,5.0,33,11,2,0.0
U0037,MATI0153,5.0,48,19,0,0.0138
U0038,MATI0941,4.0,39,16,4,0.081
U0038,MATI0983,4.0,12,7,2,0.0846
U0038,MATI0683,5.0,7,3,3,0.0
U0038,MATI0750,4.0,14,6,2,0.057
U0038,MATI0243,5.0,1,5,0,0.0029
U0038,MATI0005,3.0,16,8,4,0.1491
U0038,MATI0321,2.0,27,16,5,0.1915
U0038,MATI0076,5.0,19,8,4,0.0
U0038,MATI0010,5.0,59,21,2,0.0
U0038,MATI0541,5.0,12,8,2,0.0
U0039,MATI0554,2.0,8,5,2,0.1483
U0039,MATI0972,3.0,26,19,5,0.1241
U0039,MATI0122,5.0,25,9,2,0.0
U0039,MATI0654,4.0,16,8,6,0.0
U0039,MATI1120,5.0,22,6,4,0.0
U0039,MATI0725,5.0,22,6,1,0.0078
U0039,MATI0931,3.0,13,10,3,0.1288
U0039,MATI0944,5.0,21,6,6,0.0027
U0039,MATI1106,3.0,14,2,4,0.169
U0039,MATI0759,4.0,7,6,6,0.0864
U0040,MATI0317,5.0,20,6,0,0.0169
U0040,MATI0210,5.0,17,6,4,0.0
U0040,MATI0623,5.0,12,5,1,0.0253
U0040,MATI0255,4.0,38,13,3,0.0507
U0040,MATI0760,4.0,37,15,3,0.0559
U0040,MATI0446,5.0,26,9,3,0.0
U0040,MATI1077,5.0,34,11,4,0.0
U0040,MATI0400,3.0,24,15,7,0.0646
U0040,MATI1019,5.0,11,4,4,0.0
U0040,MATI0105,3.0,23,10,3,0.1332
U0041,MATI0043,4.0,18,3,2,0.0747
U0041,MATI1180,3.0,8,5,7,0.0639
U0041,MATI0880,2.0,14,9,3,0.1352
U0041,MATI0914,1.0,20,7,6,0.3165
U0041,MATI0475,3.0,32,13,9,0.0589
U0041,MATI0675,5.0,16,5,3,0.0
U0041,MATI0454,5.0,15,14,2,0.0
U0041,MATI0919,4.0,24,15,1,0.0596
U0041,MATI0099,4.0,8,6,2,0.077
U0041,MATI0665,5.0,27,9,5,0.0111
U0042,MATI0450,4.0,53,24,3,0.0356
U0042,MATI0506,5.0,15,4,2,0.0
U0042,MATI0957,5.0,23,10,2,0.0
U0042,MATI0672,5.0,59,21,3,0.0125
U0042,MATI0183,3.0,4,5,7,0.1824
U0042,MATI0699,4.0,5,3,4,0.0736
U0042,MATI0028,5.0,26,14,5,0.0
U0042,MATI0919,4.0,28,14,4,0.0563
U0042,MATI0058,5.0,12,6,1,0.0
U0042,MATI0436,4.0,68,20,2,0.0649
U0043,MATI0937,5.0,55,17,1,0.0206
U0043,MATI0912,5.0,29,10,0,0.0224
U0043,MATI0243,5.0,6,2,3,0.0144
U0043,MATI0449,2.0,31,6,5,0.2181
U0043,MATI0108,2.0,15,6,7,0.2283
U0043,MATI0185,4.0,24,9,6,0.0697
U0043,MATI1107,3.0,22,11,4,0.1684
U0043,MATI0553,5.0,5,4,4,0.0017
U0043,MATI0654,5.0,21,14,3,0.0
U0043,MATI0870,1.0,19,4,8,0.2543
U0044,MATI0075,2.0,15,6,3,0.1906
U0044,MATI0552,5.0,15,9,1,0.0
U0044,MATI0970,2.0,15,7,7,0.1656
U0044,MATI1162,5.0,19,14,0,0.0
U0044,MATI0994,4.0,10,10,1,0.07
U0044,MATI0150,5.0,21,4,3,0.0
U0044,MATI0069,2.0,9,1,8,0.2042
U0044,MATI0016,5.0,68,30,5,0.0
U0044,MATI0434,3.0,5,2,3,0.1252
U0044,MATI0936,4.0,48,22,5,0.115
U0045,MATI0403,4.0,20,11,5,0.1385
U0045,MATI0713,5.0,25,10,3,0.047
U0045,MATI0588,5.0,29,4,6,0.0
U0045,MATI0979,4.0,48,10,4,0.0096
U0045,MATI0005,4.0,16,5,3,0.1331
U0045,MATI0528,3.0,47,23,6,0.1171
U0045,MATI0868,5.0,9,4,6,0.0238
U0045,MATI0854,4.0,11,7,1,0.1149
U0045,MATI1079,4.0,10,3,3,0.0998
U0045,MATI1179,1.0,7,4,3,0.305
U0046,MATI0019,3.0,4,3,4,0.113
U0046,MATI0902,5.0,9,8,4,0.0
U0046,MATI0237,5.0,16,7,0,0.0
U0046,MATI1161,4.0,40,9,0,0.0
U0046,MATI0336,3.0,8,8,6,0.1316
U0046,MATI0785,4.0,12,10,6,0.0397
U0046,MATI1097,3.0,4,3,7,0.1757
U0046,MATI0300,3.0,20,11,3,0.1265
U0046,MATI0688,2.0,64,17,4,0.2475
U0046,MATI0543,5.0,26,15,3,0.0
U0047,MATI0711,5.0,27,14,3,0.0
U0047,MATI1070,5.0,20,7,1,0.0
U0047,MATI0757,4.0,13,5,2,0.0861
U0047,MATI0699,4.0,7,4,5,0.0672
U0047,MATI0309,5.0,74,27,3,0.0
U0047,MATI1166,5.0,8,6,3,0.0
U0047,MATI0324,4.0,7,5,1,0.0739
U0047,MATI1178,4.0,11,5,5,0.009
U0047,MATI0626,3.0,13,5,1,0.093
U0047,MATI0953,5.0,10,7,2,0.0
U0048,MATI1076,2.0,23,12,5,0.194
U0048,MATI0210,5.0,15,10,4,0.0
U0048,MATI1078,3.0,29,8,3,0.1366
U0048,MATI0261,5.0,12,4,1,0.0482
U0048,MATI0086,1.0,21,9,13,0.1319
U0048,MATI1043,3.0,28,15,6,0.1055
U0048,MATI1040,5.0,26,8,3,0.044
U0048,MATI0219,3.0,9,2,2,0.1579
U0048,MATI0095,2.0,39,19,5,0.2069
U0048,MATI0484,2.0,12,4,9,0.16
U0049,MATI0349,2.0,6,2,5,0.1853
U0049,MATI1149,5.0,23,5,2,0.0
U0049,MATI0613,4.0,25,12,3,0.0544
U0049,MATI0210,5.0,17,5,2,0.0
U0049,MATI0825,4.0,16,3,1,0.0616
U0049,MATI0545,4.0,9,4,5,0.0531
U0049,MATI0119,5.0,25,9,3,0.0
U0049,MATI1017,4.0,14,8,9,0.0602
U0049,MATI0896,4.0,7,8,4,0.1262
U0049,MATI0887,2.0,6,5,4,0.1826
U0050,MATI1069,5.0,15,11,2,0.0278
U0050,MATI0025,5.0,34,10,4,0.0
U0050,MATI0131,5.0,11,7,2,0.0
U0050,MATI0653,5.0,24,6,3,0.0337
U0050,MATI1125,4.0,24,8,4,0.1059
U0050,MATI0343,2.0,22,8,5,0.172
U0050,MATI0294,5.0,6,3,1,0.0
U0050,MATI0011,3.0,3,3,6,0.1144
U0050,MATI1158,4.0,32,17,5,0.0
U0050,MATI1072,3.0,4,3,4,0.0869
U0051,MATI0285,5.0,16,10,3,0.0
U0051,MATI0976,5.0,15,3,2,0.0098
U0051,MATI0363,4.0,13,5,0,0.0873
U0051,MATI0513,3.0,46,15,6,0.1804
U0051,MATI0498,3.0,20,2,6,0.1961
U0051,MATI0074,5.0,12,11,2,0.0
U0051,MATI0324,4.0,6,1,1,0.0754
U0051,MATI0619,4.0,13,5,3,0.1203
U0051,MATI0549,2.0,3,1,8,0.1719
U0051,MATI0230,4.0,16,8,2,0.0481
U0052,MATI0057,2.0,39,10,8,0.2446
U0052,MATI0774,5.0,26,13,4,0.0203
U0052,MATI0796,2.0,6,6,3,0.2075
U0052,MATI1054,3.0,7,1,4,0.0746
U0052,MATI1168,2.0,4,4,7,0.2375
U0052,MATI0666,2.0,18,7,4,0.0788
U0052,MATI0204,5.0,18,4,4,0.0
U0052,MATI0408,5.0,44,15,3,0.0
U0052,MATI0069,3.0,9,3,6,0.1993
U0052,MATI0185,4.0,31,9,2,0.0673
U0053,MATI1048,5.0,5,3,4,0.0128
U0053,MATI0846,5.0,13,10,2,0.0
U0053,MATI0354,5.0,6,3,3,0.0
U0053,MATI0182,5.0,34,16,4,0.0
U0053,MATI0157,4.0,22,9,1,0.0503
U0053,MATI0497,5.0,20,12,1,0.0
U0053,MATI0580,2.0,20,19,3,0.1924
U0053,MATI0952,3.0,33,10,10,0.1046
U0053,MATI1059,4.0,13,5,1,0.0391
U0053,MATI0432,2.0,26,15,4,0.1817
U0054,MATI0033,2.0,11,2,3,0.2396
U0054,MATI1159,5.0,14,6,4,0.0
U0054,MATI0189,4.0,15,4,3,0.0608
U0054,MATI1058,5.0,5,2,3,0.0
U0054,MATI0969,5.0,33,20,3,0.0
U0054,MATI0297,4.0,6,3,2,0.1037
U0054,MATI0033,2.0,11,3,8,0.2341
U0054,MATI0624,3.0,24,11,7,0.0988
U0054,MATI0814,3.0,6,3,5,0.1305
U0054,MATI1088,3.0,24,8,4,0.0918
U0055,MATI1033,5.0,10,8,5,0.0
U0055,MATI1143,4.0,31,13,6,0.0706
U0055,MATI0120,5.0,41,13,1,0.0
U0055,MATI0666,3.0,22,10,6,0.0893
U0055,MATI0182,4.0,36,12,2,0.0
U0055,MATI1173,4.0,16,4,3,0.0409
U0055,MATI0387,4.0,7,9,5,0.1245
U0055,MATI0550,5.0,10,2,1,0.0
U0055,MATI0868,5.0,9,4,2,0.0311
U0055,MATI0917,3.0,14,6,2,0.0505
U0056,MATI0637,1.0,8,5,6,0.2309
U0056,MATI1010,4.0,25,18,6,0.0583
U0056,MATI0757,4.0,18,4,2,0.1071
U0056,MATI0578,3.0,24,5,2,0.1378
U0056,MATI0442,5.0,12,5,2,0.072
U0056,MATI0812,5.0,5,7,2,0.0215
U0056,MATI0403,3.0,14,13,3,0.1357
U0056,MATI1194,5.0,17,6,3,0.0
U0056,MATI0246,5.0,18,9,2,0.0
U0056,MATI0782,3.0,14,4,6,0.0831
U0057,MATI0861,2.0,7,6,8,0.1595
U0057,MATI0329,2.0,13,5,7,0.2136
U0057,MATI0380,5.0,5,3,0,0.0
U0057,MATI1116,4.0,151,55,1,0.077
U0057,MATI0412,5.0,17,6,2,0.0
U0057,MATI1129,5.0,96,25,4,0.0
