user_id,item_id,rating,demand_qty,orders_placed,stockouts,fill_rate,forecast_accuracy
U0011,SKUI0299,2.0,4,2,28,0.7051,0.6141
U0011,SKUI0294,3.0,6,6,17,0.7436,0.7489
U0011,SKUI0828,4.0,5,7,6,0.8064,0.7468
U0011,SKUI1199,3.0,2,11,13,0.8109,0.8166
U0011,SKUI0857,3.0,4,5,5,0.7271,0.7399
U0012,SKUI0704,3.0,1,6,13,0.7664,0.7116
U0012,SKUI0236,3.0,1,4,9,0.7797,0.7088
U0012,SKUI0116,3.0,1,1,17,0.7094,0.5854
U0012,SKUI0266,4.0,1,3,9,0.7566,0.8462
U0012,SKUI1052,2.0,5,7,33,0.7334,0.5671
U0012,SKUI0913,3.0,1,4,4,0.8103,0.7236
U0012,SKUI0412,3.0,1,1,6,0.7648,0.7238
U0012,SKUI0465,3.0,2,4,7,0.8229,0.703
U0012,SKUI0732,4.0,2,15,5,0.7997,0.7958
U0012,SKUI0017,3.0,1,7,12,0.7767,0.8034
U0013,SKUI0391,3.0,5,2,30,0.6915,0.6129
U0013,SKUI1118,2.0,4,5,24,0.6646,0.6128
U0013,SKUI0915,2.0,1,4,27,0.7285,0.6013
U0013,SKUI0764,2.0,4,4,33,0.6903,0.6051
U0013,SKUI0946,2.0,7,11,22,0.6953,0.5826
U0013,SKUI0098,3.0,1,4,8,0.8522,0.7864
U0013,SKUI0995,3.0,3,8,7,0.8048,0.6553
U0013,SKUI0849,3.0,2,5,11,0.7859,0.7384
U0013,SKUI0471,3.0,2,3,16,0.7727,0.8142
U0013,SKUI0234,1.0,3,3,35,0.6793,0.5282
U0014,SKUI0365,4.0,2,4,7,0.761,0.6875
U0014,SKUI0763,5.0,2,2,7,0.8167,0.8716
U0014,SKUI1034,3.0,6,1,30,0.762,0.6091
U0014,SKUI1080,2.0,5,4,26,0.7437,0.6229
U0014,SKUI0606,3.0,4,4,5,0.722,0.7686
U0014,SKUI1114,4.0,4,21,9,0.8192,0.8454
U0014,SKUI0414,3.0,2,3,10,0.7856,0.7327
U0014,SKUI0621,3.0,1,5,6,0.7623,0.8794
U0014,SKUI1131,5.0,1,2,2,0.7996,0.8623
U0014,SKUI0913,3.0,1,9,10,0.7587,0.7563
U0015,SKUI0273,2.0,2,3,25,0.7026,0.5666
U0015,SKUI0989,2.0,6,9,31,0.656,0.5403
U0015,SKUI0673,4.0,1,4,10,0.7413,0.7808
U0015,SKUI0700,3.0,1,3,6,0.7336,0.7244
U0015,SKUI0200,1.0,1,1,34,0.7137,0.5535
U0015,SKUI0602,2.0,4,9,36,0.7594,0.4667
U0015,SKUI0571,3.0,1,4,8,0.7415,0.797
U0015,SKUI1165,4.0,1,3,9,0.7531,0.9104
U0015,SKUI0194,2.0,3,2,26,0.7666,0.6349
U0015,SKUI0600,4.0,1,6,8,0.738,0.8293
U0016,SKUI0842,2.0,4,7,20,0.6852,0.6956
U0016,SKUI0895,4.0,1,4,9,0.8482,0.7407
U0016,SKUI0712,1.0,1,2,52,0.6609,0.5119
U0016,SKUI0692,5.0,1,1,4,0.8971,0.8705
U0016,SKUI0495,4.0,1,3,3,0.8242,0.6474
U0016,SKUI0722,3.0,3,6,17,0.7184,0.7979
U0016,SKUI0424,3.0,2,17,9,0.7862,0.7124
U0016,SKUI0999,2.0,1,1,9,0.7689,0.6793
U0016,SKUI1054,2.0,2,5,27,0.7273,0.6134
U0016,SKUI0958,1.0,1,1,31,0.6431,0.504
U0017,SKUI0119,3.0,1,5,14,0.7442,0.7433
U0017,SKUI0740,3.0,2,2,24,0.7156,0.6629
U0017,SKUI0923,4.0,1,2,12,0.8157,0.7812
U0017,SKUI0272,4.0,9,21,8,0.7327,0.7708
U0017,SKUI1122,4.0,2,6,4,0.7772,0.8073
U0017,SKUI0845,4.0,5,6,7,0.7752,0.7387
U0017,SKUI0381,3.0,3,6,7,0.7544,0.6921
U0017,SKUI0810,2.0,3,12,34,0.7249,0.5326
U0017,SKUI0104,2.0,1,3,12,0.7659,0.7648
U0017,SKUI1099,4.0,3,3,9,0.7953,0.7787
U0018,SKUI0426,3.0,6,4,7,0.7663,0.7844
U0018,SKUI0838,4.0,1,2,6,0.7542,0.8144
U0018,SKUI1077,4.0,1,13,6,0.782,0.8757
U0018,SKUI0816,5.0,1,10,6,0.8198,0.8124
U0018,SKUI0345,4.0,3,4,5,0.8212,0.7172
U0018,SKUI1134,3.0,1,6,9,0.7515,0.7588
U0018,SKUI0141,2.0,2,2,26,0.6971,0.6919
U0018,SKUI0725,2.0,4,7,17,0.7323,0.5974
U0018,SKUI0646,4.0,3,3,8,0.7782,0.8062
U0018,SKUI0265,2.0,1,4,16,0.7055,0.7033
U0019,SKUI0780,4.0,1,6,12,0.7767,0.8664
U0019,SKUI0586,2.0,1,2,23,0.7093,0.5882
U0019,SKUI0638,2.0,5,6,37,0.6716,0.5349
U0019,SKUI0984,2.0,1,7,25,0.6547,0.5513
U0019,SKUI0313,4.0,1,1,19,0.7549,0.6533
U0019,SKUI0195,4.0,2,7,10,0.7487,0.7871
U0019,SKUI0042,4.0,2,3,6,0.7767,0.8281
U0019,SKUI0155,2.0,2,1,25,0.7162,0.538
U0019,SKUI0690,2.0,3,3,12,0.778,0.6601
U0019,SKUI0408,3.0,2,1,11,0.7732,0.7209
U0020,SKUI0846,4.0,1,3,6,0.8058,0.8359
U0020,SKUI0165,2.0,1,10,14,0.7634,0.6911
U0020,SKUI1199,4.0,4,10,6,0.8092,0.7409
U0020,SKUI0253,2.0,4,2,7,0.6757,0.6764
U0020,SKUI0213,4.0,2,5,6,0.7592,0.7589
U0020,SKUI1012,3.0,2,3,9,0.7163,0.7371
U0020,SKUI0889,2.0,2,2,13,0.7008,0.7
U0020,SKUI0879,5.0,3,1,10,0.8145,0.7982
U0020,SKUI0188,4.0,1,3,3,0.7811,0.8326
U0020,SKUI1183,3.0,1,2,12,0.8128,0.7082
U0021,SKUI0639,4.0,1,6,6,0.8057,0.7458
U0021,SKUI1045,2.0,2,1,28,0.693,0.5984
U0021,SKUI0403,4.0,1,3,9,0.8074,0.8085
U0021,SKUI0816,3.0,1,6,9,0.807,0.796
U0021,SKUI0499,3.0,1,3,10,0.7861,0.8146
U0021,SKUI0488,1.0,2,2,31,0.7038,0.4911
U0021,SKUI0933,3.0,5,9,3,0.7768,0.6846
U0021,SKUI0621,3.0,2,8,12,0.7335,0.8636
U0021,SKUI1167,4.0,8,10,8,0.7888,0.802
U0021,SKUI0353,1.0,1,4,27,0.6996,0.5295
U0022,SKUI0920,3.0,2,4,11,0.7786,0.726
U0022,SKUI0429,2.0,3,7,26,0.7684,0.6161
U0022,SKUI0627,2.0,4,15,28,0.7134,0.5606
U0022,SKUI1066,4.0,1,3,2,0.809,0.7405
U0022,SKUI0970,2.0,3,2,31,0.7455,0.5422
U0022,SKUI1005,4.0,4,10,6,0.7672,0.8673
U0022,SKUI0250,4.0,2,4,8,0.7618,0.7446
U0022,SKUI0560,3.0,2,3,10,0.7746,0.7673
U0022,SKUI0785,4.0,1,5,11,0.8004,0.7894
U0022,SKUI1200,4.0,1,6,6,0.7765,0.7947
U0023,SKUI0124,2.0,1,3,33,0.6981,0.5858
U0023,SKUI0650,3.0,2,2,10,0.7801,0.7845
U0023,SKUI0596,4.0,2,7,8,0.7755,0.8185
U0023,SKUI0947,4.0,1,1,11,0.8038,0.7955
U0023,SKUI1167,3.0,5,8,11,0.7434,0.6675
U0023,SKUI0191,3.0,3,2,8,0.7638,0.6684
U0023,SKUI0904,3.0,1,6,9,0.7385,0.7406
U0023,SKUI0988,4.0,1,5,8,0.8326,0.8033
U0023,SKUI0149,3.0,1,1,11,0.8324,0.7442
U0023,SKUI0753,3.0,2,7,11,0.751,0.687
U0024,SKUI0942,3.0,2,4,10,0.7819,0.8066
U0024,SKUI0316,2.0,1,3,14,0.7184,0.7115
U0024,SKUI0183,3.0,4,8,5,0.7664,0.8008
U0024,SKUI0447,4.0,1,3,5,0.8038,0.7108
U0024,SKUI0385,4.0,2,6,4,0.7875,0.8301
U0024,SKUI0692,5.0,1,1,9,0.8462,0.7964
U0024,SKUI1190,2.0,2,2,34,0.6795,0.5807
U0024,SKUI1084,2.0,2,4,35,0.703,0.5464
U0024,SKUI0687,2.0,2,3,35,0.7344,0.568
U0024,SKUI0104,2.0,2,2,10,0.7966,0.6864
U0025,SKUI0429,2.0,2,4,43,0.7163,0.5242
U0025,SKUI0297,2.0,1,8,25,0.7232,0.5426
U0025,SKUI1051,3.0,5,10,9,0.7484,0.7556
U0025,SKUI0528,3.0,2,2,10,0.7137,0.6481
U0025,SKUI0664,4.0,2,6,14,0.7591,0.7441
U0025,SKUI0263,3.0,3,2,13,0.8002,0.6542
U0025,SKUI0485,3.0,1,2,9,0.7332,0.7225
U0025,SKUI0199,2.0,1,5,31,0.7508,0.5634
U0025,SKUI0623,3.0,5,18,6,0.7104,0.7486
U0025,SKUI0108,4.0,2,4,13,0.7464,0.7873
U0026,SKUI0285,4.0,2,5,8,0.8161,0.7794
U0026,SKUI0015,4.0,1,3,10,0.7899,0.879
U0026,SKUI0249,3.0,2,4,7,0.7651,0.7544
U0026,SKUI0565,2.0,1,1,30,0.7485,0.6034
U0026,SKUI0898,3.0,6,14,9,0.8126,0.6827
U0026,SKUI0748,3.0,1,2,14,0.804,0.7412
U0026,SKUI0815,4.0,2,5,7,0.7974,0.7842
U0026,SKUI0709,4.0,2,2,9,0.8098,0.8465
U0026,SKUI0841,4.0,1,11,8,0.7404,0.86
U0026,SKUI0684,2.0,3,1,28,0.7325,0.6129
U0027,SKUI0674,2.0,6,6,24,0.6588,0.5452
U0027,SKUI0294,3.0,1,6,12,0.8116,0.7224
U0027,SKUI0642,1.0,1,1,46,0.6686,0.5151
U0027,SKUI0081,3.0,2,4,11,0.7548,0.6732
U0027,SKUI0966,2.0,2,2,36,0.7209,0.5597
U0027,SKUI0461,2.0,4,12,30,0.6852,0.5981
U0027,SKUI0524,2.0,2,2,30,0.6548,0.5333
U0027,SKUI0411,1.0,5,6,37,0.7385,0.5239
U0027,SKUI0070,2.0,3,3,27,0.6825,0.5951
U0027,SKUI0398,2.0,2,2,24,0.7336,0.6198
U0028,SKUI0103,3.0,3,1,12,0.818,0.7131
U0028,SKUI0128,1.0,1,2,39,0.7145,0.4947
U0028,SKUI0055,5.0,1,2,8,0.8588,0.7712
U0028,SKUI0709,4.0,2,1,11,0.786,0.7791
U0028,SKUI0143,2.0,2,5,21,0.6579,0.5595
U0028,SKUI0266,4.0,3,8,6,0.7689,0.8309
U0028,SKUI0408,4.0,4,9,5,0.8437,0.9214
U0028,SKUI0408,4.0,1,8,9,0.7618,0.7859
U0028,SKUI0523,4.0,2,1,6,0.8309,0.8576
U0028,SKUI0080,2.0,1,1,30,0.7151,0.5582
U0029,SKUI0181,3.0,3,1,5,0.722,0.7251
U0029,SKUI0800,2.0,4,5,7,0.7538,0.7226
U0029,SKUI0813,3.0,1,2,13,0.7904,0.7998
U0029,SKUI0337,2.0,1,2,29,0.7621,0.5823
U0029,SKUI0387,3.0,2,4,9,0.7937,0.6803
U0029,SKUI0313,4.0,1,2,23,0.7252,0.6215
U0029,SKUI1024,3.0,3,12,10,0.7795,0.7371
U0029,SKUI1177,3.0,1,8,9,0.7881,0.7625
U0029,SKUI0454,4.0,2,2,8,0.8431,0.7765
U0029,SKUI0665,4.0,1,3,7,0.8062,0.8051
U0030,SKUI0425,2.0,2,3,12,0.6818,0.669
U0030,SKUI0604,3.0,1,8,9,0.775,0.6851
U0030,SKUI0594,3.0,1,5,7,0.7667,0.7426
U0030,SKUI0450,3.0,2,6,11,0.7835,0.7863
U0030,SKUI0907,2.0,2,8,18,0.7005,0.6165
U0030,SKUI0484,4.0,3,4,5,0.8284,0.7198
U0030,SKUI1159,2.0,1,3,11,0.7101,0.7256
U0030,SKUI0723,3.0,5,11,25,0.7465,0.6021
U0030,SKUI0411,2.0,7,7,18,0.7291,0.5835
U0030,SKUI1135,2.0,15,28,28,0.7457,0.4919
U0031,SKUI1082,2.0,1,1,32,0.6971,0.5371
U0031,SKUI0910,3.0,4,11,8,0.7569,0.7548
U0031,SKUI0398,3.0,4,2,32,0.7136,0.6075
U0031,SKUI0705,3.0,1,4,13,0.7683,0.7498
U0031,SKUI0988,3.0,1,5,9,0.7062,0.8062
U0031,SKUI0145,2.0,3,3,36,0.7351,0.556
U0031,SKUI1080,2.0,2,9,37,0.6834,0.5803
U0031,SKUI0406,4.0,1,3,9,0.7578,0.7436
U0031,SKUI0017,4.0,1,9,12,0.8295,0.7786
U0031,SKUI0560,3.0,2,14,8,0.7945,0.672
U0032,SKUI0512,3.0,1,3,9,0.777,0.8055
U0032,SKUI0376,4.0,1,5,3,0.8052,0.8717
U0032,SKUI0555,4.0,2,2,8,0.7781,0.7941
U0032,SKUI0893,2.0,3,2,13,0.786,0.7103
U0032,SKUI0243,2.0,11,26,29,0.7463,0.5724
U0032,SKUI0076,2.0,1,5,23,0.682,0.71
U0032,SKUI0050,3.0,11,17,20,0.6964,0.6232
U0032,SKUI0572,1.0,5,21,38,0.6764,0.5522
U0032,SKUI1130,2.0,1,2,25,0.7551,0.6579
U0032,SKUI0350,3.0,4,23,6,0.7833,0.8304
U0033,SKUI0380,3.0,1,4,3,0.7729,0.6839
U0033,SKUI0017,3.0,2,7,13,0.7815,0.8142
U0033,SKUI1030,2.0,3,2,26,0.6903,0.5417
U0033,SKUI0658,2.0,6,9,33,0.695,0.5329
U0033,SKUI1130,2.0,2,3,26,0.718,0.5718
U0033,SKUI0644,4.0,4,9,7,0.838,0.7183
U0033,SKUI1159,3.0,3,2,8,0.7507,0.7032
U0033,SKUI0302,2.0,2,2,22,0.6768,0.5888
U0033,SKUI1004,4.0,1,8,11,0.7809,0.7737
U0033,SKUI1092,3.0,1,3,13,0.755,0.6637
U0034,SKUI1007,3.0,1,3,4,0.747,0.7639
U0034,SKUI0532,2.0,1,5,32,0.697,0.619
U0034,SKUI0718,3.0,1,2,14,0.782,0.7973
U0034,SKUI1066,4.0,1,1,7,0.7617,0.8357
U0034,SKUI0982,4.0,1,2,12,0.7334,0.7908
U0034,SKUI0823,3.0,3,5,24,0.7189,0.5591
U0034,SKUI0753,3.0,2,5,9,0.7566,0.6697
U0034,SKUI0429,2.0,2,6,22,0.7708,0.61
U0034,SKUI0696,2.0,1,6,31,0.7274,0.5801
U0034,SKUI0871,4.0,1,1,8,0.7672,0.8092
U0035,SKUI0613,3.0,3,2,11,0.7701,0.7343
U0035,SKUI0488,2.0,2,4,27,0.7125,0.5213
U0035,SKUI0938,4.0,1,4,7,0.7991,0.7477
U0035,SKUI0378,3.0,1,2,10,0.7357,0.7684
U0035,SKUI0074,3.0,2,8,7,0.81,0.6937
U0035,SKUI0654,3.0,2,5,7,0.7825,0.7086
U0035,SKUI0543,3.0,2,3,6,0.8277,0.7477
U0035,SKUI0396,2.0,5,6,34,0.7266,0.6229
U0035,SKUI0796,3.0,2,3,11,0.7599,0.7739
U0035,SKUI0939,3.0,1,5,10,0.7806,0.6784
U0036,SKUI1038,4.0,3,6,1,0.8021,0.7913
U0036,SKUI0810,2.0,5,8,24,0.6865,0.5702
U0036,SKUI0798,2.0,2,3,23,0.7402,0.6001
U0036,SKUI0887,4.0,2,5,8,0.7568,0.7554
U0036,SKUI0064,4.0,2,6,6,0.7475,0.8192
U0036,SKUI0360,2.0,1,2,28,0.6896,0.6111
U0036,SKUI0309,2.0,3,3,14,0.7487,0.6542
U0036,SKUI1052,2.0,5,9,31,0.7185,0.666
U0036,SKUI1143,2.0,4,10,35,0.7051,0.6346
U0036,SKUI0034,2.0,3,2,26,0.7306,0.5637
U0037,SKUI0900,2.0,2,1,36,0.7022,0.5774
U0037,SKUI0369,2.0,2,2,25,0.6683,0.5999
U0037,SKUI0198,5.0,1,2,9,0.815,0.7583
U0037,SKUI0003,2.0,7,9,30,0.7004,0.5894
U0037,SKUI0055,5.0,1,1,7,0.871,0.8465
U0037,SKUI0415,3.0,1,2,7,0.7712,0.7472
U0037,SKUI0638,2.0,1,10,28,0.6854,0.5792
U0037,SKUI0294,3.0,2,13,9,0.8069,0.7344
U0037,SKUI1072,3.0,3,1,9,0.7941,0.7399
U0037,SKUI0261,2.0,1,5,31,0.7311,0.5927
U0038,SKUI0515,1.0,2,8,35,0.6847,0.6047
U0038,SKUI1155,2.0,1,4,26,0.6922,0.6314
U0038,SKUI0093,1.0,1,3,24,0.6949,0.5751
U0038,SKUI0417,1.0,1,2,29,0.6716,0.5467
U0038,SKUI1147,4.0,1,9,5,0.7797,0.8479
U0038,SKUI1015,4.0,1,3,11,0.7749,0.7903
U0038,SKUI1168,4.0,1,4,5,0.7514,0.7286
U0038,SKUI1083,2.0,1,3,31,0.6899,0.5348
U0038,SKUI0246,4.0,2,4,8,0.7791,0.883
U0038,SKUI0990,5.0,2,1,8,0.8354,0.7924
U0039,SKUI0975,4.0,2,6,10,0.785,0.6963
U0039,SKUI0919,3.0,4,4,19,0.7453,0.6455
U0039,SKUI0398,2.0,2,6,38,0.6898,0.6045
U0039,SKUI0804,5.0,2,1,4,0.7706,0.8025
U0039,SKUI1042,4.0,4,16,5,0.789,0.6715
U0039,SKUI0519,4.0,2,5,7,0.7201,0.7871
U0039,SKUI0086,4.0,2,4,8,0.7539,0.8862
U0039,SKUI0264,3.0,3,7,10,0.7256,0.7408
U0039,SKUI0303,1.0,1,1,36,0.6909,0.5155
U0039,SKUI0394,2.0,1,3,8,0.7877,0.6508
U0040,SKUI0673,3.0,1,7,9,0.7724,0.7439
U0040,SKUI0970,1.0,5,2,27,0.6628,0.5141
U0040,SKUI0158,3.0,1,4,8,0.7965,0.6786
U0040,SKUI1199,3.0,5,8,11,0.7941,0.7267
U0040,SKUI0690,2.0,2,3,9,0.7445,0.7411
U0040,SKUI0121,2.0,1,4,30,0.7077,0.5742
U0040,SKUI0376,3.0,1,8,13,0.7419,0.7349
U0040,SKUI0061,1.0,3,4,37,0.6751,0.5343
U0040,SKUI1145,3.0,1,2,7,0.7775,0.794
U0040,SKUI0944,3.0,5,9,6,0.8321,0.6956
U0041,SKUI0716,4.0,1,6,9,0.7595,0.8515
U0041,SKUI1132,3.0,5,4,3,0.7169,0.7239
U0041,SKUI0003,2.0,6,5,28,0.7093,0.5331
U0041,SKUI0492,3.0,1,2,26,0.7048,0.6142
U0041,SKUI0897,2.0,2,6,26,0.672,0.6234
U0041,SKUI0301,4.0,1,2,3,0.791,0.7463
U0041,SKUI0557,3.0,1,4,11,0.7897,0.8747
U0041,SKUI1186,2.0,3,2,24,0.6674,0.6222
U0041,SKUI0150,2.0,1,7,12,0.7129,0.7047
U0041,SKUI0947,4.0,1,1,11,0.8247,0.6982
U0042,SKUI0767,5.0,2,3,5,0.8189,0.7975
U0042,SKUI0391,2.0,4,4,27,0.6812,0.6649
U0042,SKUI1113,4.0,1,6,8,0.7844,0.8224
U0042,SKUI1187,3.0,1,5,12,0.7336,0.8001
U0042,SKUI0646,4.0,1,3,5,0.7453,0.7519
U0042,SKUI0982,3.0,2,2,10,0.7506,0.6819
U0042,SKUI0529,3.0,1,1,16,0.7579,0.8532
U0042,SKUI0979,2.0,2,8,28,0.6935,0.6179
U0042,SKUI0908,3.0,3,4,12,0.7331,0.743
U0042,SKUI0681,4.0,1,2,6,0.7476,0.7249
U0043,SKUI0652,2.0,2,5,27,0.7032,0.5073
U0043,SKUI0054,3.0,6,7,10,0.7643,0.6758
U0043,SKUI0407,4.0,1,3,9,0.8208,0.7924
U0043,SKUI0596,3.0,3,2,12,0.7415,0.7507
U0043,SKUI0023,3.0,1,7,13,0.7508,0.8104
U0043,SKUI0076,2.0,1,4,16,0.7444,0.7365
U0043,SKUI0471,3.0,1,2,14,0.7074,0.6751
U0043,SKUI0650,4.0,2,2,6,0.7394,0.8295
U0043,SKUI0852,4.0,8,28,12,0.765,0.7492
U0043,SKUI0471,3.0,2,1,13,0.7425,0.6663
U0044,SKUI0527,3.0,3,5,5,0.7839,0.7769
U0044,SKUI0898,3.0,4,10,9,0.7591,0.7327
U0044,SKUI1012,3.0,2,2,9,0.8139,0.7011
U0044,SKUI0934,3.0,2,5,7,0.7426,0.7339
U0044,SKUI1027,2.0,3,7,24,0.7566,0.5618
U0044,SKUI0521,4.0,1,4,7,0.8467,0.791
U0044,SKUI0033,2.0,1,3,32,0.6662,0.5763
U0044,SKUI0894,3.0,3,9,11,0.8281,0.7608
U0044,SKUI0505,4.0,2,7,16,0.812,0.84
U0044,SKUI0112,2.0,1,2,11,0.7356,0.7814
U0045,SKUI0592,3.0,1,4,10,0.7322,0.7664
U0045,SKUI0112,3.0,1,4,14,0.7578,0.8281
U0045,SKUI0359,2.0,4,3,26,0.6896,0.5716
U0045,SKUI0860,4.0,2,6,11,0.7786,0.8428
U0045,SKUI0765,2.0,3,12,26,0.7233,0.574
U0045,SKUI0312,2.0,3,3,13,0.7494,0.7497
U0045,SKUI0171,2.0,4,5,32,0.6301,0.6549
U0045,SKUI0098,4.0,2,4,9,0.7596,0.8046
U0045,SKUI0538,3.0,2,3,10,0.7879,0.6597
U0045,SKUI0924,4.0,2,7,16,0.7966,0.6951
U0046,SKUI0678,4.0,2,5,8,0.783,0.76
