car_id,customer_id,brand,model,manufacture_year,color,fuel_type,transmission,engine_no,chassis_no,mileage_kmpl,price_inr,ownership,insurance_type,insurance_expiry,registration_date,city,state,country,active_status
CAR000011,CUST021132,BMW,X3,2018,Green,Petrol,Manual,D2KL19QA38V6GK,LUZUXXC7W3B8UNOR0,18.23,6006665,First Owner,Comprehensive,13-08-2025,20-12-2022,Chennai,Tamil Nadu,India,ACTIVE
CAR000012,CUST033476,Tata,Nexon,2004,Grey,Hybrid,Automatic,7Q7UN9T9B0VQD5,EIQQPB8WICK1M0O4P,36.22,1898202,Second Owner,Expired,14-05-2011,21-05-2019,Ahmedabad,Gujarat,India,INACTIVE
CAR000013,CUST063863,Audi,A3,2009,Black,Hybrid,Manual,C5X8EUD568WSEL,3RR16J34U4GV0S6Z8,20.29,5358258,Third Owner,Expired,23-04-2013,04-06-2013,Kolkata,West Bengal,India,INACTIVE
CAR000014,CUST046974,Hyundai,i10,2002,Black,Hybrid,Automatic,RQGX3MEHAG0B7L,RCE7VNFSNGA8MXQG1,24.09,4489256,Third Owner,Expired,29-08-2023,06-06-2016,Kolkata,West Bengal,India,INACTIVE
CAR000015,CUST044618,Mahindra,XUV300,2018,Yellow,Petrol,Manual,TXWSKL9CPSULJ5,46BRL98FVVBT6HPZ5,9.3,2561536,First Owner,Third Party,20-07-2019,06-06-2020,Hyderabad,Telangana,India,ACTIVE
CAR000016,CUST067321,Mahindra,XUV300,2025,White,Hybrid,Automatic,8CF9H16WWHDKDP,HHY6NNX06GMH5RDZP,11.59,260917,Third Owner,Third Party,08-02-2026,28-03-2025,Mumbai,Maharashtra,India,INACTIVE
CAR000017,CUST029439,Honda,Amaze,2018,Blue,Hybrid,Manual,83X5G6V7SNMFWQ,ITPHR3KDO0MLKUOC4,9.48,5548324,Third Owner,Expired,19-12-2024,22-04-2022,Bangalore,Karnataka,India,INACTIVE
CAR000018,CUST068527,Toyota,Camry,2024,Blue,Diesel,Manual,PAQGP3ZSRMQX6U,YSJQCINNNP5T2QQMJ,19.61,3647511,Second Owner,Comprehensive,17-01-2024,04-03-2024,Pune,Maharashtra,India,ACTIVE
CAR000019,CUST021901,BMW,X1,2011,Silver,Hybrid,Manual,RBSJWE86OIFT4K,83CTLOGTVM58R8GWV,27.01,7028105,Second Owner,Expired,11-09-2023,02-06-2023,Hyderabad,Telangana,India,ACTIVE
CAR000020,CUST010802,Mahindra,XUV300,2003,Yellow,Electric,Automatic,LOJMU5VJSGQK6M,BGCM84MTI4K0A9CVX,26.6,3721551,Second Owner,Expired,06-01-2006,18-03-2020,Delhi,Delhi,India,INACTIVE
CAR000021,CUST055845,Tata,Tiago,2002,Blue,Diesel,Manual,U797RNVJ0KVUT0,LPMY2R60FLWEZ8ZCX,29.29,3086093,Third Owner,Third Party,11-04-2006,26-01-2011,Chennai,Tamil Nadu,India,INACTIVE
CAR000022,CUST012796,Toyota,Innova,2025,Yellow,Hybrid,Manual,HSGZSYAJ37AEZV,S8OY17BHQE2YP4AMI,9.19,2903899,Third Owner,Comprehensive,11-04-2025,31-01-2025,Mumbai,Maharashtra,India,INACTIVE
CAR000023,CUST044384,Hyundai,Creta,2018,Grey,Electric,Automatic,TRM94MCUPLW3ON,F5DAIB2QVFVPIPU1S,28.42,2366945,First Owner,Third Party,04-11-2021,23-09-2021,Pune,Maharashtra,India,ACTIVE
CAR000024,CUST004352,Tata,Nexon,2012,Black,Electric,Automatic,97STYINM8S6XX0,HELQSKCZ2CLLSXO0D,34.53,7218356,Second Owner,Third Party,09-05-2022,29-04-2013,Kolkata,West Bengal,India,INACTIVE
CAR000025,CUST034887,Audi,A4,2018,Silver,Diesel,Automatic,DKWWT5EFOCZ2HK,278MTON7JSRH6BNW4,15.28,8096620,Third Owner,Comprehensive,06-05-2021,09-07-2020,Chennai,Tamil Nadu,India,ACTIVE
CAR000026,CUST014739,Hyundai,Verna,2023,Blue,Petrol,Manual,3FOTAI18H3II63,4XOGT4HLVNO681ERM,15.57,739320,First Owner,Expired,02-02-2024,04-01-2025,Pune,Maharashtra,India,INACTIVE
CAR000027,CUST067498,Tata,Harrier,2015,Black,Electric,Automatic,W4XNIPNU4RK8P3,3RW4JRTSJ1EMRJZ8R,12.61,7543897,Second Owner,Comprehensive,30-08-2022,03-08-2025,Pune,Maharashtra,India,INACTIVE
CAR000028,CUST024701,Tata,Safari,2011,Silver,Petrol,Manual,CZVS9TP5LFJH7P,RZIQNTHTUEFH1NHWW,37.7,7785305,First Owner,Comprehensive,26-05-2020,18-07-2011,Chennai,Tamil Nadu,India,ACTIVE
CAR000029,CUST035911,Toyota,Fortuner,2007,White,Electric,Automatic,L78JD3XTKZ0CWT,4NT4VGC52SNXLIZSN,14.85,7827261,Third Owner,Third Party,31-12-2012,16-11-2013,Mumbai,Maharashtra,India,ACTIVE
CAR000030,CUST010871,Tata,Tiago,2021,Blue,Electric,Automatic,PX9XCPE7FTX2XZ,KGXUOJLYEEIVERNJN,31.89,2667899,First Owner,Third Party,19-10-2021,13-05-2023,Pune,Maharashtra,India,INACTIVE
CAR000031,CUST027202,Honda,Civic,2024,Grey,Petrol,Automatic,R6EU0MDM8UZBNF,EHB30UL611OSN2JS2,11.15,8808136,Third Owner,Comprehensive,13-05-2025,25-01-2025,Mumbai,Maharashtra,India,ACTIVE
CAR000032,CUST013104,Mahindra,XUV500,2000,Green,Electric,Manual,VEL64X6X4BEXKF,8GQNVTB35FE47HRV4,36.79,2120721,First Owner,Comprehensive,27-11-2000,29-01-2001,Bangalore,Karnataka,India,INACTIVE
CAR000033,CUST065594,Honda,Civic,2020,Black,Petrol,Manual,3POPWPXZIXDJ7F,6UUZP7VPD1U45Q02N,8.51,2271664,First Owner,Expired,10-01-2025,03-04-2024,Kolkata,West Bengal,India,ACTIVE
CAR000034,CUST012817,Tata,Harrier,2025,Green,Hybrid,Manual,99VIYWJM5GKIHI,TTFGXGCFJAUFXN0OQ,23.13,3845036,Second Owner,Expired,30-06-2025,28-01-2025,Kolkata,West Bengal,India,INACTIVE
CAR000035,CUST031144,Mahindra,Scorpio,2022,White,Diesel,Automatic,KS7DABKLSP7BNQ,I630EX2C3T63YVA1U,12.89,7754002,First Owner,Expired,31-01-2025,13-04-2025,Pune,Maharashtra,India,INACTIVE
CAR000036,CUST068246,Toyota,Camry,2024,Grey,Hybrid,Manual,A32HQ5WV5Q9AEK,JMR8FPFFSRT1TL5TT,29.47,2005792,First Owner,Comprehensive,23-09-2025,09-01-2026,Hyderabad,Telangana,India,ACTIVE
CAR000037,CUST001766,Hyundai,i10,2005,Blue,Hybrid,Automatic,LAGDWRQF5LIUUL,IA1G27I1HBI20CDKY,20.39,1566316,First Owner,Expired,20-06-2007,31-01-2011,Ahmedabad,Gujarat,India,ACTIVE
CAR000038,CUST058969,Hyundai,Verna,2002,White,Hybrid,Manual,C7KAOXEPX95GXM,4BWQ0TTSKC9AOPL5C,24.15,1243190,Second Owner,Comprehensive,18-11-2020,17-12-2019,Ahmedabad,Gujarat,India,INACTIVE
CAR000039,CUST052576,Hyundai,Verna,2012,Red,Electric,Automatic,L6FDFNR1LZ39F3,O2U8W16S32XVOSN9B,22.32,6112279,Second Owner,Comprehensive,03-01-2026,04-03-2016,Bangalore,Karnataka,India,INACTIVE
CAR000040,CUST015382,Toyota,Camry,2022,White,Electric,Automatic,BH3O2FA9ACA35B,R6FO6AQXSLCI7MWV6,37.62,1713880,Third Owner,Third Party,28-02-2023,30-04-2025,Ahmedabad,Gujarat,India,INACTIVE
CAR000041,CUST009489,Honda,City,2023,Blue,Diesel,Automatic,20FO7GOW6S3URP,A14X0LMLJEII9LHIW,16.66,4998101,First Owner,Third Party,23-07-2024,04-05-2025,Kolkata,West Bengal,India,INACTIVE
CAR000042,CUST034443,Audi,Q3,2000,Green,Petrol,Automatic,V2J91I2GEQRJZD,N09YS9XYLARUKVCWS,39.47,2465416,Third Owner,Comprehensive,27-09-2021,01-12-2001,Pune,Maharashtra,India,ACTIVE
CAR000043,CUST046190,Audi,Q3,2015,Silver,Petrol,Automatic,ZQCVI7K6D668C0,064W8LC74OLA0Z0AT,30.95,8156508,Second Owner,Comprehensive,04-11-2020,12-02-2021,Kolkata,West Bengal,India,ACTIVE
CAR000044,CUST019018,Mahindra,Thar,2002,Grey,Diesel,Automatic,P34XMAV0I02QL4,NUASIJEIDDFUIJYHI,11.33,2902589,Third Owner,Expired,06-02-2012,22-03-2019,Bangalore,Karnataka,India,INACTIVE
CAR000045,CUST054094,Audi,A4,2001,Blue,Hybrid,Automatic,UZVMYD5GV6J8KN,K9BOZ17T0CUSXGANB,16.67,6380690,First Owner,Comprehensive,02-10-2001,19-04-2015,Delhi,Delhi,India,INACTIVE
CAR000046,CUST019711,Mahindra,XUV300,2007,Blue,Hybrid,Automatic,YGT1L4VBHPL3YS,7T3IHU60KD4U2XT9G,31.85,2149720,First Owner,Expired,31-12-2022,28-05-2008,Ahmedabad,Gujarat,India,INACTIVE
CAR000047,CUST063566,BMW,X3,2003,Blue,Diesel,Automatic,XI1RZMHW42XB35,GE9F2JUVU62ADWLPH,28.62,5357799,First Owner,Third Party,28-08-2006,03-01-2021,Mumbai,Maharashtra,India,ACTIVE
CAR000048,CUST027171,Mahindra,XUV500,2016,Green,Electric,Manual,ZQ8TS5XUCZAY1V,7LVS3MPURKPARCBQ9,26.63,3292762,Second Owner,Comprehensive,09-05-2016,19-08-2023,Ahmedabad,Gujarat,India,ACTIVE
CAR000049,CUST023656,Hyundai,Verna,2025,Yellow,Petrol,Manual,QJW9WYLUCYN9BV,6IPL2CXJF35P4ASJN,29.22,5365292,First Owner,Expired,20-02-2025,29-01-2026,Delhi,Delhi,India,INACTIVE
CAR000050,CUST009194,Honda,City,2023,Yellow,Diesel,Manual,W5K0308OCW7YB6,CQTYZAYFHLOQ05GQ9,27.15,8152025,First Owner,Comprehensive,10-01-2026,26-12-2024,Ahmedabad,Gujarat,India,INACTIVE
CAR000051,CUST051826,BMW,3 Series,2011,Silver,Petrol,Automatic,7LOHOZ8BDM7H9R,DS35KHY6AT9USMRTX,28.21,2388218,Second Owner,Comprehensive,05-12-2024,24-02-2016,Kolkata,West Bengal,India,ACTIVE
CAR000052,CUST058842,BMW,3 Series,2008,Yellow,Electric,Manual,B1NUPAXTDBOM9S,HYQOW8JQ0OXLOQ8A2,16.98,6804109,First Owner,Third Party,08-11-2013,21-08-2024,Kolkata,West Bengal,India,ACTIVE
CAR000053,CUST038426,Honda,City,2017,Black,Petrol,Automatic,TPQ8UE6KI3BK2L,V2XLYDTZJKDH07DYQ,18.04,5783000,Second Owner,Third Party,08-12-2020,24-01-2025,Hyderabad,Telangana,India,INACTIVE
CAR000054,CUST008698,Hyundai,Creta,2018,Yellow,Hybrid,Manual,8RBB7AA5J6LQ8J,ZWBU5M44810SNKTKH,38.95,6816885,Third Owner,Third Party,06-09-2019,18-04-2018,Ahmedabad,Gujarat,India,ACTIVE
CAR000055,CUST054058,Mahindra,Thar,2014,Grey,Petrol,Manual,TD0TH2IQETEFUI,JN90QLK1KVCSJ0EK7,27.51,1172006,Third Owner,Third Party,01-08-2023,08-12-2022,Kolkata,West Bengal,India,ACTIVE
CAR000056,CUST049673,Toyota,Fortuner,2020,Green,Petrol,Automatic,8NCYXVUJ95RJ5B,N6WF85OTMR6OZOZ0N,21.01,5661476,First Owner,Comprehensive,27-11-2020,07-06-2021,Hyderabad,Telangana,India,ACTIVE
CAR000057,CUST065122,Toyota,Fortuner,2019,Yellow,Diesel,Manual,BU4E5VFPNNMUHC,XC2II847U3D4GLPIF,36.77,3382314,Second Owner,Third Party,06-05-2022,26-02-2024,Mumbai,Maharashtra,India,ACTIVE
CAR000058,CUST051518,BMW,X1,2000,Red,Electric,Automatic,ZOOWHIFYMXCT7X,DVFLEI3BBBNSMOH3I,37.18,6944609,Second Owner,Comprehensive,17-11-2022,29-06-2019,Ahmedabad,Gujarat,India,INACTIVE
CAR000059,CUST046680,Honda,Amaze,2003,Red,Diesel,Manual,DT12QIPVQZGN1F,M0IH2PKI9Z7RE967R,9.85,7395086,Second Owner,Comprehensive,03-04-2022,03-04-2025,Delhi,Delhi,India,INACTIVE
CAR000060,CUST046670,Honda,CR-V,2005,Red,Diesel,Automatic,JXR4M90EJ0ZC5A,8XOZ9EUBLNZNFNOWC,35.46,4206625,Second Owner,Expired,14-05-2010,24-09-2013,Ahmedabad,Gujarat,India,INACTIVE
CAR000061,CUST004100,BMW,X5,2008,Red,Petrol,Manual,NGDMSSNX9GN8NG,0G4X60SXQ3RAV74AM,28.28,1193711,Third Owner,Third Party,28-07-2025,17-05-2020,Pune,Maharashtra,India,INACTIVE
CAR000062,CUST017999,Honda,CR-V,2001,White,Hybrid,Manual,G0ECKBIH7X0SXX,IXUHKZMLPYNWB9G4O,11.35,3102793,First Owner,Comprehensive,15-05-2013,04-05-2012,Ahmedabad,Gujarat,India,INACTIVE
CAR000063,CUST065828,Honda,Civic,2020,Red,Diesel,Manual,CYXMHTTXUOJPQQ,A4EN4YMYF77I44CXD,20.23,2356786,Third Owner,Third Party,26-07-2025,06-05-2020,Mumbai,Maharashtra,India,ACTIVE
CAR000064,CUST030359,Tata,Tiago,2010,Grey,Hybrid,Manual,H0LWA6VYD505ZI,VAU2QNFFE23SGTY4P,22.22,3522117,Third Owner,Comprehensive,26-02-2023,07-09-2021,Bangalore,Karnataka,India,ACTIVE
CAR000065,CUST056799,Hyundai,Creta,2017,Grey,Electric,Automatic,P9PXH9MP6Y5H2S,O11AUL64WJDF4SNWV,14.26,6536802,Third Owner,Comprehensive,22-09-2025,01-03-2018,Chennai,Tamil Nadu,India,ACTIVE
CAR000066,CUST024984,Toyota,Camry,2004,White,Hybrid,Automatic,U3R6W710VUCZY2,VSFOB4XLJOK3VZGWR,28.97,782884,Second Owner,Comprehensive,03-01-2012,22-12-2024,Hyderabad,Telangana,India,INACTIVE
CAR000067,CUST014754,Audi,Q3,2019,Yellow,Hybrid,Automatic,6MTHSOBEB5L3WJ,XB9XP4W9CW4KL8FDV,32.9,6081973,Third Owner,Third Party,06-07-2020,01-10-2022,Bangalore,Karnataka,India,ACTIVE
CAR000068,CUST000643,Audi,A4,2025,Red,Petrol,Automatic,GX9XF47BRLUYTX,XKTKGUG6EYN9THWZM,36.36,1244617,Second Owner,Comprehensive,17-12-2025,06-01-2025,Kolkata,West Bengal,India,INACTIVE
CAR000069,CUST014133,BMW,3 Series,2013,Green,Petrol,Automatic,23JH1CEGESSWNJ,OSP54RMDT15ZAY48T,22.32,8005556,Second Owner,Comprehensive,07-04-2018,03-04-2017,Bangalore,Karnataka,India,ACTIVE
CAR000070,CUST025021,Toyota,Camry,2024,White,Hybrid,Automatic,HF68267DXQ7UME,OHS9XLRSWJZ2L6YS4,39.85,1801642,Second Owner,Third Party,28-11-2024,17-08-2025,Pune,Maharashtra,India,ACTIVE
CAR000071,CUST068011,Tata,Nexon,2021,White,Petrol,Automatic,B0JD2XXZYLM3YR,IZQY8LMBNTESZ20PR,15.97,1019217,Second Owner,Comprehensive,05-07-2022,04-09-2022,Pune,Maharashtra,India,ACTIVE
CAR000072,CUST024578,Toyota,Fortuner,2005,Yellow,Electric,Automatic,S2O5V0AIH0JE9G,WD4682UD52I04RQYT,19.72,475315,Third Owner,Comprehensive,14-06-2009,19-09-2010,Mumbai,Maharashtra,India,ACTIVE
CAR000073,CUST008797,Honda,City,2012,Blue,Diesel,Manual,MAAZZSOWCHKA9G,ZHKTDHKSNZ4L83Y3T,21.67,8491751,First Owner,Third Party,09-09-2016,25-09-2023,Chennai,Tamil Nadu,India,INACTIVE
CAR000074,CUST049056,Audi,Q3,2024,Black,Diesel,Manual,6QJHP1VTX3WE7X,0Y8BHLU6JX1IWSK2Z,38.23,1506817,First Owner,Third Party,21-06-2025,01-09-2024,Chennai,Tamil Nadu,India,INACTIVE
CAR000075,CUST064255,Toyota,Innova,2003,Blue,Hybrid,Automatic,QB7D8JU9A1Z7PA,M95TDVBJWUMGUFQ69,17.25,765742,First Owner,Third Party,17-01-2018,17-09-2003,Ahmedabad,Gujarat,India,INACTIVE
CAR000076,CUST024000,Tata,Nexon,2013,Yellow,Petrol,Manual,AVBTVTUEXQPSXR,D9SB0QWIVKDUEHLVM,37.01,4551685,First Owner,Expired,15-10-2025,24-11-2018,Ahmedabad,Gujarat,India,INACTIVE
CAR000077,CUST045058,Toyota,Innova,2005,Yellow,Diesel,Manual,VBOAQYJZ4FU7BS,Y88SE5DL8MP7884G6,28.75,1533479,First Owner,Third Party,21-10-2020,19-10-2017,Kolkata,West Bengal,India,INACTIVE
CAR000078,CUST040271,BMW,X5,2010,Black,Hybrid,Automatic,J7SNZE88SGG33W,WYER43258USYQFIWW,39.61,5123479,Third Owner,Expired,24-11-2015,01-04-2010,Ahmedabad,Gujarat,India,ACTIVE
CAR000079,CUST001715,Tata,Nexon,2000,White,Petrol,Manual,PLZFADFJLUZ9TZ,S41IKV9YUOR9QFP8H,19.52,834737,Third Owner,Third Party,15-03-2008,16-03-2024,Pune,Maharashtra,India,INACTIVE
CAR000080,CUST013459,Tata,Safari,2018,Blue,Hybrid,Automatic,WPXH2YT3UF42W0,SS6FOU2SECXO1A14D,19.84,1625955,Second Owner,Comprehensive,28-01-2021,08-06-2019,Mumbai,Maharashtra,India,ACTIVE
CAR000081,CUST056048,Toyota,Camry,2025,Grey,Petrol,Automatic,N04OQ3M9V9Q2EL,0X92WN0FFLA1KCV5M,25.71,2614045,First Owner,Expired,19-07-2025,22-10-2025,Kolkata,West Bengal,India,INACTIVE
CAR000082,CUST018095,Honda,CR-V,2008,Yellow,Diesel,Manual,DD590BR52218I0,KG73CHWHF470PRLOK,23.5,7772107,First Owner,Third Party,09-08-2013,13-05-2011,Pune,Maharashtra,India,ACTIVE
CAR000083,CUST034839,Toyota,Innova,2021,Red,Hybrid,Manual,35I3CABFEO14UB,JSUXLZ2LEDYBLSAHN,28.43,8005615,Third Owner,Comprehensive,24-12-2022,13-10-2025,Hyderabad,Telangana,India,ACTIVE
CAR000084,CUST030703,Honda,City,2018,Silver,Electric,Manual,K6DFALXE0GT9KQ,FE6PRQGTNH4BBY8V3,13.3,854591,Third Owner,Expired,09-01-2024,17-07-2024,Mumbai,Maharashtra,India,INACTIVE
CAR000085,CUST055927,BMW,X3,2011,Black,Electric,Manual,2Y4T6QMCKNVO9S,0V2JLUPS6B9K0J5QS,38.57,6542714,Third Owner,Expired,23-08-2020,22-05-2012,Hyderabad,Telangana,India,INACTIVE
CAR000086,CUST031300,BMW,X5,2021,Grey,Electric,Automatic,WVQFNX4A05VHQJ,MSCO9RL078HQUOGGD,35.97,8234963,Second Owner,Expired,20-09-2022,29-10-2024,Pune,Maharashtra,India,INACTIVE
CAR000087,CUST023059,Tata,Tiago,2012,Silver,Diesel,Automatic,RWBH9858U1SS28,JQIBBG96Y6WGWSJ2E,33.94,5085194,Third Owner,Expired,17-09-2022,01-12-2022,Delhi,Delhi,India,INACTIVE
CAR000088,CUST023714,Hyundai,i10,2018,White,Hybrid,Manual,NYIG9Q7Y8JLSNY,EQY49RX2B9DEPGMFQ,18.65,3800017,First Owner,Comprehensive,19-07-2023,30-10-2019,Bangalore,Karnataka,India,ACTIVE
CAR000089,CUST027045,Audi,A3,2019,White,Petrol,Automatic,EPVD1LRWMO2KB1,RZH4LEP9EY934B1NY,9.33,3677924,First Owner,Comprehensive,02-04-2022,30-01-2021,Mumbai,Maharashtra,India,ACTIVE
CAR000090,CUST066457,Toyota,Camry,2019,Yellow,Diesel,Automatic,5AYINLCYNZLPRJ,TM9RVQKV0V961PEE1,33.56,1282087,Third Owner,Expired,13-02-2021,23-02-2023,Hyderabad,Telangana,India,ACTIVE
CAR000091,CUST058418,Honda,City,2020,Red,Petrol,Manual,36LJLJ67WU4FE3,8GA1C913R8GEF3EAJ,29.57,5239893,Second Owner,Comprehensive,31-03-2020,23-04-2024,Kolkata,West Bengal,India,INACTIVE
CAR000092,CUST022219,Honda,City,2022,Yellow,Electric,Manual,TBPD1C4KI9Y7NL,E9JA493AZX0E42Z3W,18.64,1887957,First Owner,Comprehensive,31-05-2023,19-11-2022,Ahmedabad,Gujarat,India,INACTIVE
CAR000093,CUST043437,BMW,3 Series,2016,Green,Electric,Automatic,RHZVOJ223YK3ZC,VF49F2W0VOTGKEG2W,11.38,1776378,First Owner,Expired,24-02-2021,27-05-2021,Mumbai,Maharashtra,India,ACTIVE
CAR000094,CUST060449,Hyundai,i20,2019,Blue,Petrol,Automatic,NO0G645LGFQTQG,PUEQKIMD7AU33UNT8,20.47,4867045,Second Owner,Third Party,31-12-2023,17-12-2022,Kolkata,West Bengal,India,INACTIVE
CAR000095,CUST013511,BMW,X5,2002,Blue,Petrol,Manual,PHDZAGV5NYAONM,ZMEHKS06P1U80C8CN,36.79,7807208,Third Owner,Comprehensive,12-05-2013,25-05-2002,Delhi,Delhi,India,ACTIVE
CAR000096,CUST064404,Mahindra,XUV300,2005,Green,Petrol,Automatic,OGZF7S6FAQHPB1,PFSYGLTGOIG09905R,38.37,1175998,First Owner,Expired,05-09-2014,16-02-2025,Mumbai,Maharashtra,India,INACTIVE
CAR000097,CUST029817,Audi,A3,2003,Blue,Electric,Manual,WSXFG3ZIL6RIJS,AQMIT9FXX5MR2L24I,18.75,4264589,First Owner,Third Party,23-08-2022,23-12-2019,Ahmedabad,Gujarat,India,ACTIVE
CAR000098,CUST038624,Audi,A3,2009,Silver,Petrol,Manual,GFTJE3W1SUAZD5,T9G50R0KR4USNVHIE,38.64,6570430,Second Owner,Comprehensive,01-08-2024,02-02-2025,Mumbai,Maharashtra,India,ACTIVE
CAR000099,CUST067611,Mahindra,Scorpio,2003,Red,Hybrid,Manual,KIM5RE348RZLE4,S385HO6XDVEFB9UYK,14.61,7081736,Second Owner,Expired,12-02-2007,26-08-2014,Hyderabad,Telangana,India,INACTIVE
CAR000100,CUST057388,Mahindra,Scorpio,2010,Blue,Petrol,Manual,158HAEQ7N8HRYB,GCXQW16EH2KAUD0O1,34.52,6980520,Third Owner,Comprehensive,16-12-2012,11-12-2024,Mumbai,Maharashtra,India,ACTIVE
CAR000101,CUST069371,Tata,Safari,2022,Blue,Hybrid,Automatic,XHOJYYWBH1QPR2,DR1005NKNE4CUHGRW,9.06,8740561,Third Owner,Third Party,29-12-2023,17-05-2025,Hyderabad,Telangana,India,ACTIVE
CAR000102,CUST046234,Tata,Harrier,2005,Black,Hybrid,Manual,QMDAVCY6IUCDUP,Z8NZ8BLUEO2O424JU,7.19,6946020,Third Owner,Third Party,07-04-2014,08-07-2007,Kolkata,West Bengal,India,ACTIVE
CAR000103,CUST046261,Tata,Safari,2011,White,Diesel,Manual,FTLTPF6HYPO7GM,PXUD8M9Q0K51GKFD6,24.62,8336913,Third Owner,Comprehensive,17-09-2022,20-03-2022,Kolkata,West Bengal,India,ACTIVE
CAR000104,CUST016815,Mahindra,Thar,2024,Green,Petrol,Manual,P1XZGM3UKTUFKT,8JFMD0XYHLYZDGJJ4,25.2,8093537,Third Owner,Expired,30-08-2025,18-03-2024,Bangalore,Karnataka,India,ACTIVE
CAR000105,CUST018886,BMW,X5,2011,Silver,Electric,Manual,ZHFN3W9B83QKCI,EEYV986BG4DARKQK3,27.45,4305821,Third Owner,Expired,02-11-2011,06-11-2022,Hyderabad,Telangana,India,ACTIVE
CAR000106,CUST046200,Hyundai,Creta,2022,Silver,Electric,Manual,Q40JBYAETF8EWI,JWKJNHBKS3YE4AYAY,34.81,4928995,First Owner,Third Party,12-05-2023,17-05-2022,Hyderabad,Telangana,India,ACTIVE
CAR000107,CUST040654,Audi,A3,2009,White,Hybrid,Automatic,OLVD7Y6VCCXCI1,4U3162PJU6CXZ62G5,16.65,4560612,Second Owner,Comprehensive,16-12-2009,29-11-2016,Hyderabad,Telangana,India,ACTIVE
CAR000108,CUST044036,Tata,Nexon,2025,Yellow,Petrol,Manual,VA50EYM2E6MUK8,3XY0HBIFE0HGKXBTF,31.21,8068384,First Owner,Expired,24-08-2025,08-05-2025,Kolkata,West Bengal,India,ACTIVE
CAR000109,CUST044062,Toyota,Corolla,2017,Black,Electric,Manual,QHI1KMZYZGBY6C,P4KRIQ0IR40W2DA3I,36.14,7201131,Third Owner,Third Party,27-04-2025,05-03-2019,Hyderabad,Telangana,India,ACTIVE
CAR000110,CUST021078,Honda,Amaze,2004,Red,Hybrid,Automatic,5SDD7WO9PHW3CB,HJRRUZ3IJBP06AY3B,13.95,4632048,First Owner,Third Party,04-06-2020,02-08-2012,Delhi,Delhi,India,INACTIVE
CAR000111,CUST043981,Honda,Amaze,2018,Green,Hybrid,Manual,DX6TKSX08K83HV,GG1KZQ9J6HKAVZ6EJ,14.64,8402650,Second Owner,Third Party,13-07-2021,21-12-2018,Pune,Maharashtra,India,INACTIVE
CAR000112,CUST055085,Hyundai,Creta,2022,Grey,Electric,Automatic,OZID6HJ4TVBL9N,RE0RQSJTO85OODC6S,37.32,4031206,Third Owner,Third Party,26-04-2025,09-12-2025,Hyderabad,Telangana,India,INACTIVE
