interaction_id,car_id,customer_id,brand,transmission,interaction_type,interaction_channel,interaction_date,rating,sentiment,time_spent_minutes,issue_resolved,follow_up_required
INT0000086,CAR064466,CUST021397,BMW,Manual,Customer Support Call,Call Center,16-08-2024,3,Very Positive,81,FALSE,FALSE
INT0000087,CAR062406,CUST022003,BMW,Manual,App Login,Call Center,18-01-2022,3,Very Negative,2,TRUE,TRUE
INT0000088,CAR054978,CUST015994,Hyundai,Automatic,Customer Support Call,Showroom,29-04-2019,3,Very Negative,16,TRUE,FALSE
INT0000089,CAR076025,CUST049577,Tata,Manual,Feedback Submission,Call Center,17-06-2018,2,Very Positive,5,FALSE,TRUE
INT0000090,CAR053568,CUST005702,Hyundai,Manual,Customer Support Call,Web,27-11-2025,4,Positive,169,FALSE,TRUE
INT0000091,CAR042659,CUST013421,Honda,Manual,Feedback Submission,Showroom,20-07-2024,5,Very Negative,126,FALSE,TRUE
INT0000092,CAR084106,CUST010339,Honda,Automatic,App Login,Mobile App,09-10-2023,4,Very Positive,159,FALSE,TRUE
INT0000093,CAR086690,CUST007322,Toyota,Automatic,App Login,Mobile App,08-01-2020,3,Positive,196,FALSE,FALSE
INT0000094,CAR009110,CUST009203,Toyota,Manual,App Login,Showroom,20-06-2020,4,Positive,213,FALSE,TRUE
INT0000095,CAR019465,CUST061669,Hyundai,Manual,Customer Support Call,Call Center,04-09-2024,4,Very Negative,100,TRUE,FALSE
INT0000096,CAR098688,CUST040525,Hyundai,Manual,Insurance Renewal,Mobile App,13-05-2024,5,Very Positive,200,TRUE,FALSE
INT0000097,CAR054771,CUST048495,Tata,Automatic,Customer Support Call,Showroom,24-09-2019,5,Negative,137,TRUE,FALSE
INT0000098,CAR064815,CUST051154,Audi,Automatic,Feedback Submission,Call Center,17-09-2019,1,Very Negative,26,TRUE,FALSE
INT0000099,CAR028454,CUST067829,Honda,Automatic,Feedback Submission,Showroom,18-03-2025,2,Positive,134,FALSE,FALSE
INT0000100,CAR056680,CUST003354,Hyundai,Automatic,Purchase Inquiry,Mobile App,10-09-2020,1,Very Negative,97,FALSE,FALSE
INT0000101,CAR008512,CUST031588,Mahindra,Manual,Service Visit,Call Center,29-08-2019,4,Negative,219,TRUE,FALSE
INT0000102,CAR094693,CUST052519,BMW,Manual,App Login,Call Center,04-03-2022,1,Negative,60,TRUE,FALSE
INT0000103,CAR024694,CUST053818,Toyota,Automatic,Customer Support Call,Web,28-09-2023,4,Neutral,94,TRUE,TRUE
INT0000104,CAR022281,CUST025320,Hyundai,Manual,Test Drive,Call Center,19-07-2020,4,Very Positive,131,FALSE,TRUE
INT0000105,CAR016889,CUST010248,Mahindra,Automatic,Test Drive,Mobile App,10-12-2025,1,Negative,91,FALSE,TRUE
INT0000106,CAR062451,CUST009719,Honda,Automatic,Test Drive,Web,14-05-2018,3,Negative,219,FALSE,FALSE
INT0000107,CAR063213,CUST065840,Audi,Manual,Purchase Inquiry,Call Center,29-08-2024,4,Neutral,55,TRUE,TRUE
INT0000108,CAR097565,CUST052222,Honda,Automatic,Purchase Inquiry,Web,01-05-2019,1,Positive,25,TRUE,TRUE
INT0000109,CAR045335,CUST023096,BMW,Manual,Feedback Submission,Mobile App,18-10-2019,1,Negative,86,TRUE,TRUE
INT0000110,CAR091358,CUST012244,Honda,Manual,Feedback Submission,Showroom,02-10-2021,1,Positive,12,TRUE,FALSE
INT0000111,CAR082087,CUST029292,Hyundai,Automatic,Feedback Submission,Call Center,20-03-2025,5,Negative,102,FALSE,TRUE
INT0000112,CAR021261,CUST064327,Toyota,Automatic,Feedback Submission,Web,08-12-2022,1,Very Positive,75,TRUE,FALSE
INT0000113,CAR001858,CUST015789,BMW,Automatic,Test Drive,Web,23-07-2018,3,Negative,10,FALSE,FALSE
INT0000114,CAR016992,CUST007075,Audi,Manual,Insurance Renewal,Call Center,01-04-2018,2,Neutral,37,TRUE,TRUE
INT0000115,CAR045039,CUST018881,Mahindra,Manual,App Login,Web,11-06-2023,5,Very Positive,211,FALSE,TRUE
INT0000116,CAR060544,CUST034622,Audi,Automatic,Customer Support Call,Showroom,27-06-2022,1,Very Positive,183,TRUE,TRUE
INT0000117,CAR089256,CUST047641,BMW,Manual,Feedback Submission,Mobile App,19-02-2025,1,Very Positive,197,FALSE,TRUE
INT0000118,CAR038453,CUST009956,Honda,Automatic,Insurance Renewal,Web,11-07-2025,2,Positive,36,TRUE,FALSE
INT0000119,CAR090707,CUST019295,Toyota,Automatic,Insurance Renewal,Call Center,15-08-2024,1,Very Negative,118,TRUE,FALSE
INT0000120,CAR072968,CUST020841,Mahindra,Automatic,Purchase Inquiry,Web,03-11-2021,2,Very Positive,4,TRUE,FALSE
INT0000121,CAR011270,CUST064502,Hyundai,Manual,Feedback Submission,Call Center,17-08-2024,3,Very Positive,140,FALSE,FALSE
INT0000122,CAR044102,CUST041259,Hyundai,Automatic,Insurance Renewal,Web,28-05-2022,4,Very Negative,56,TRUE,FALSE
INT0000123,CAR077353,CUST018949,Hyundai,Automatic,Purchase Inquiry,Web,17-03-2020,5,Positive,40,TRUE,TRUE
INT0000124,CAR072153,CUST048238,Tata,Manual,Feedback Submission,Web,11-11-2022,4,Negative,136,FALSE,TRUE
INT0000125,CAR048137,CUST000444,Mahindra,Automatic,Purchase Inquiry,Call Center,25-07-2022,3,Negative,153,FALSE,FALSE
INT0000126,CAR091947,CUST060237,Toyota,Automatic,Insurance Renewal,Showroom,16-12-2023,4,Positive,142,TRUE,FALSE
INT0000127,CAR035850,CUST030555,Tata,Automatic,Service Visit,Call Center,30-07-2023,1,Neutral,55,TRUE,TRUE
INT0000128,CAR096188,CUST020457,Honda,Manual,Feedback Submission,Showroom,15-05-2025,1,Very Negative,87,TRUE,TRUE
INT0000129,CAR076524,CUST067108,Hyundai,Automatic,Purchase Inquiry,Call Center,16-07-2024,1,Very Negative,8,FALSE,FALSE
INT0000130,CAR050011,CUST012058,BMW,Manual,Customer Support Call,Showroom,29-01-2022,2,Positive,89,FALSE,TRUE
INT0000131,CAR019091,CUST068211,BMW,Automatic,Insurance Renewal,Web,20-05-2020,2,Very Negative,229,FALSE,TRUE
INT0000132,CAR021651,CUST039923,Audi,Automatic,Customer Support Call,Mobile App,10-06-2023,3,Negative,90,FALSE,TRUE
INT0000133,CAR067562,CUST020259,Toyota,Manual,Service Visit,Call Center,01-06-2021,3,Negative,132,TRUE,FALSE
INT0000134,CAR000787,CUST058739,Tata,Manual,Test Drive,Mobile App,11-12-2025,4,Very Negative,184,FALSE,TRUE
INT0000135,CAR092216,CUST065589,Tata,Automatic,Purchase Inquiry,Call Center,22-02-2019,2,Positive,75,FALSE,TRUE
INT0000136,CAR017779,CUST008304,Honda,Automatic,Feedback Submission,Call Center,14-03-2024,2,Positive,38,TRUE,TRUE
INT0000137,CAR067547,CUST037062,Tata,Manual,Service Visit,Mobile App,03-08-2019,4,Negative,13,TRUE,TRUE
INT0000138,CAR062502,CUST036725,Toyota,Automatic,Service Visit,Mobile App,04-05-2025,3,Negative,130,TRUE,TRUE
INT0000139,CAR060981,CUST029693,BMW,Automatic,Service Visit,Mobile App,09-02-2022,1,Positive,123,TRUE,FALSE
INT0000140,CAR003301,CUST028788,Hyundai,Automatic,Purchase Inquiry,Showroom,30-07-2019,1,Neutral,70,TRUE,TRUE
INT0000141,CAR084116,CUST009599,Hyundai,Automatic,App Login,Showroom,25-09-2025,3,Neutral,16,FALSE,TRUE
INT0000142,CAR095518,CUST041229,Toyota,Automatic,Insurance Renewal,Call Center,21-11-2023,2,Neutral,14,TRUE,FALSE
INT0000143,CAR046750,CUST040785,Hyundai,Manual,Insurance Renewal,Call Center,13-09-2020,3,Positive,167,TRUE,TRUE
INT0000144,CAR089078,CUST001170,Audi,Automatic,Test Drive,Mobile App,25-06-2020,2,Neutral,111,FALSE,FALSE
INT0000145,CAR055752,CUST033825,Tata,Manual,Customer Support Call,Showroom,28-05-2018,1,Neutral,78,TRUE,FALSE
INT0000146,CAR080762,CUST040064,Toyota,Automatic,Test Drive,Call Center,07-05-2022,4,Very Positive,168,TRUE,TRUE
INT0000147,CAR043069,CUST061156,Mahindra,Automatic,Customer Support Call,Web,28-06-2022,3,Very Negative,156,FALSE,TRUE
INT0000148,CAR030571,CUST046199,Mahindra,Automatic,Insurance Renewal,Web,03-03-2023,2,Positive,11,TRUE,FALSE
INT0000149,CAR023859,CUST018690,Audi,Automatic,Customer Support Call,Web,30-06-2018,4,Positive,201,FALSE,FALSE
INT0000150,CAR083314,CUST049941,Honda,Automatic,Feedback Submission,Mobile App,31-08-2019,1,Negative,157,FALSE,FALSE
INT0000151,CAR023287,CUST039147,Hyundai,Automatic,Purchase Inquiry,Call Center,06-02-2020,1,Neutral,82,TRUE,FALSE
INT0000152,CAR075967,CUST016041,Hyundai,Manual,Feedback Submission,Mobile App,05-08-2019,1,Very Negative,142,TRUE,FALSE
INT0000153,CAR051199,CUST025622,Toyota,Automatic,Customer Support Call,Call Center,01-06-2024,5,Negative,182,FALSE,FALSE
INT0000154,CAR062470,CUST027562,Audi,Manual,Test Drive,Mobile App,23-02-2019,3,Very Negative,88,FALSE,FALSE
INT0000155,CAR009415,CUST066861,Hyundai,Manual,Test Drive,Call Center,05-05-2023,1,Positive,22,FALSE,TRUE
INT0000156,CAR001962,CUST034624,Mahindra,Manual,Test Drive,Mobile App,01-03-2018,5,Negative,191,TRUE,FALSE
INT0000157,CAR018004,CUST054480,Tata,Automatic,Test Drive,Mobile App,11-09-2020,4,Negative,202,FALSE,TRUE
INT0000158,CAR069752,CUST012054,Audi,Automatic,Insurance Renewal,Call Center,17-04-2019,2,Very Negative,105,TRUE,TRUE
INT0000159,CAR027779,CUST059458,BMW,Manual,Customer Support Call,Mobile App,11-03-2024,3,Negative,3,TRUE,TRUE
INT0000160,CAR052029,CUST027522,Mahindra,Manual,Customer Support Call,Call Center,04-01-2024,3,Neutral,144,FALSE,FALSE
INT0000161,CAR038753,CUST031030,BMW,Automatic,Purchase Inquiry,Mobile App,02-11-2025,1,Negative,172,FALSE,FALSE
INT0000162,CAR011884,CUST027120,BMW,Manual,Customer Support Call,Showroom,25-12-2018,3,Negative,240,TRUE,FALSE
INT0000163,CAR082381,CUST053356,Honda,Manual,Customer Support Call,Showroom,31-12-2020,2,Positive,94,TRUE,FALSE
INT0000164,CAR014443,CUST019064,Honda,Manual,Purchase Inquiry,Mobile App,05-12-2023,5,Neutral,189,FALSE,TRUE
INT0000165,CAR094391,CUST029517,BMW,Manual,Feedback Submission,Showroom,01-04-2025,1,Positive,43,FALSE,TRUE
INT0000166,CAR022537,CUST005546,Hyundai,Manual,App Login,Showroom,13-06-2021,3,Neutral,210,FALSE,FALSE
INT0000167,CAR029407,CUST018776,Mahindra,Manual,Feedback Submission,Showroom,18-06-2018,1,Neutral,217,TRUE,FALSE
INT0000168,CAR046566,CUST039621,Honda,Manual,App Login,Showroom,02-04-2025,5,Positive,6,FALSE,TRUE
INT0000169,CAR046796,CUST026494,Hyundai,Automatic,Purchase Inquiry,Mobile App,22-03-2018,3,Neutral,142,TRUE,TRUE
INT0000170,CAR090984,CUST022517,BMW,Manual,Customer Support Call,Mobile App,05-08-2025,1,Neutral,210,TRUE,TRUE
INT0000171,CAR047332,CUST044101,Hyundai,Automatic,Insurance Renewal,Showroom,26-03-2024,4,Very Negative,235,TRUE,TRUE
INT0000172,CAR015760,CUST038161,Toyota,Automatic,Feedback Submission,Mobile App,17-11-2021,5,Very Positive,216,TRUE,TRUE
INT0000173,CAR067887,CUST062715,Hyundai,Manual,Test Drive,Mobile App,10-11-2021,2,Neutral,105,FALSE,FALSE
INT0000174,CAR050518,CUST030127,Mahindra,Automatic,Test Drive,Showroom,03-08-2025,4,Very Positive,171,FALSE,FALSE
INT0000175,CAR015105,CUST068448,Mahindra,Manual,Purchase Inquiry,Showroom,26-11-2018,4,Positive,239,FALSE,FALSE
INT0000176,CAR072233,CUST056358,Tata,Manual,Test Drive,Call Center,10-06-2023,3,Neutral,129,FALSE,TRUE
INT0000177,CAR080576,CUST002739,Mahindra,Manual,Test Drive,Web,18-06-2019,3,Positive,160,FALSE,FALSE
INT0000178,CAR005353,CUST030193,Hyundai,Manual,Feedback Submission,Call Center,10-03-2021,5,Neutral,120,FALSE,TRUE
INT0000179,CAR085112,CUST006070,Mahindra,Manual,Feedback Submission,Showroom,01-08-2018,1,Positive,152,TRUE,TRUE
INT0000180,CAR053245,CUST023061,Tata,Manual,Service Visit,Web,10-01-2023,4,Negative,21,FALSE,TRUE
INT0000181,CAR031040,CUST007102,BMW,Manual,Customer Support Call,Call Center,21-06-2021,5,Neutral,194,FALSE,TRUE
INT0000182,CAR023598,CUST032976,Honda,Automatic,Customer Support Call,Showroom,07-05-2021,3,Positive,221,TRUE,TRUE
INT0000183,CAR005326,CUST066528,Tata,Automatic,Feedback Submission,Mobile App,07-04-2022,5,Positive,45,FALSE,TRUE
INT0000184,CAR079413,CUST051509,Audi,Automatic,Test Drive,Mobile App,07-01-2019,2,Neutral,122,FALSE,FALSE
INT0000185,CAR042549,CUST020239,Mahindra,Automatic,Purchase Inquiry,Web,26-06-2025,1,Neutral,62,FALSE,TRUE
INT0000186,CAR055475,CUST049147,Mahindra,Manual,Test Drive,Showroom,04-09-2022,1,Neutral,55,FALSE,FALSE
INT0000187,CAR045077,CUST056416,Audi,Automatic,Insurance Renewal,Showroom,29-01-2018,5,Neutral,48,FALSE,TRUE
INT0000188,CAR024662,CUST016994,Tata,Automatic,Test Drive,Web,19-06-2023,5,Positive,170,FALSE,TRUE
INT0000189,CAR069840,CUST043135,Audi,Manual,Test Drive,Call Center,04-05-2023,1,Negative,151,TRUE,FALSE
INT0000190,CAR073152,CUST067733,Tata,Manual,App Login,Web,26-10-2024,5,Positive,185,TRUE,TRUE
INT0000191,CAR065359,CUST041928,Tata,Automatic,Purchase Inquiry,Call Center,23-07-2022,4,Very Positive,174,TRUE,TRUE
INT0000192,CAR046082,CUST059130,Audi,Manual,Customer Support Call,Call Center,13-07-2021,1,Negative,92,TRUE,FALSE
INT0000193,CAR023232,CUST065369,Mahindra,Manual,Feedback Submission,Web,12-06-2024,2,Negative,207,TRUE,TRUE
INT0000194,CAR024625,CUST064402,BMW,Manual,Feedback Submission,Web,16-08-2019,4,Positive,200,FALSE,FALSE
INT0000195,CAR070150,CUST013589,BMW,Manual,Insurance Renewal,Web,22-06-2018,2,Very Positive,87,TRUE,TRUE
INT0000196,CAR037979,CUST035560,Tata,Automatic,Service Visit,Web,30-09-2018,5,Positive,58,TRUE,FALSE
INT0000197,CAR023989,CUST047106,Toyota,Automatic,App Login,Showroom,12-07-2019,5,Very Positive,23,FALSE,FALSE
INT0000198,CAR062302,CUST033222,Toyota,Manual,Test Drive,Call Center,06-01-2022,5,Neutral,13,TRUE,TRUE
INT0000199,CAR073106,CUST021009,Honda,Automatic,Test Drive,Showroom,15-06-2023,3,Very Positive,225,TRUE,FALSE
INT0000200,CAR090269,CUST068800,Tata,Automatic,Insurance Renewal,Web,22-12-2025,2,Neutral,237,FALSE,FALSE
INT0000201,CAR036224,CUST068969,Honda,Manual,Purchase Inquiry,Mobile App,20-01-2022,3,Very Negative,70,TRUE,TRUE
INT0000202,CAR001293,CUST037420,BMW,Manual,Insurance Renewal,Mobile App,06-11-2020,4,Neutral,94,TRUE,FALSE
INT0000203,CAR004817,CUST016713,Mahindra,Manual,Purchase Inquiry,Web,26-09-2023,4,Positive,236,TRUE,FALSE
INT0000204,CAR004045,CUST002112,BMW,Automatic,App Login,Web,31-12-2020,4,Negative,115,FALSE,TRUE
INT0000205,CAR012664,CUST005080,BMW,Manual,Customer Support Call,Mobile App,07-04-2018,4,Positive,18,TRUE,FALSE
INT0000206,CAR077834,CUST031360,Toyota,Manual,Customer Support Call,Call Center,24-12-2020,4,Neutral,194,FALSE,FALSE
INT0000207,CAR088954,CUST030150,BMW,Manual,Purchase Inquiry,Mobile App,28-06-2021,3,Neutral,235,TRUE,FALSE
INT0000208,CAR097184,CUST033993,Audi,Manual,Feedback Submission,Web,01-08-2019,1,Negative,182,FALSE,FALSE
INT0000209,CAR063420,CUST012391,Tata,Manual,Service Visit,Mobile App,22-08-2023,5,Very Negative,126,TRUE,TRUE
INT0000210,CAR012392,CUST008700,Tata,Automatic,Service Visit,Showroom,27-03-2018,1,Very Negative,163,FALSE,FALSE
INT0000211,CAR004504,CUST053505,Toyota,Manual,Purchase Inquiry,Showroom,21-10-2021,2,Very Positive,196,TRUE,FALSE
